,experiment_id,qualitative_outcome,disease_id,disease_name,organism_id,organism_name
48,49,Elevated,5,Irritable Bowel Syndrome,37,Pseudomonas aeruginosa
49,50,Reduced,6,Cirrhosis,38,Bifidobacterium catenulatum
50,51,Reduced,6,Cirrhosis,38,Bifidobacterium catenulatum
51,52,Reduced,6,Cirrhosis,38,Bifidobacterium catenulatum
52,53,Reduced,6,Cirrhosis,39,Bifidobacterium longum
53,54,Reduced,6,Cirrhosis,39,Bifidobacterium longum
54,55,Elevated,6,Cirrhosis,40,Bifidobacterium dentium
55,56,Elevated,6,Cirrhosis,41,Enterococcus
56,57,Elevated,6,Cirrhosis,42,Enterobacter
57,58,Reduced,6,Cirrhosis,43,Bifidobacterium
58,59,Elevated,6,Cirrhosis,9,Clostridium
59,60,Elevated,7,Type 2 Diabetes,44,Prevotella
60,61,Elevated,7,Type 2 Diabetes,14,Roseburia
61,62,Elevated,7,Type 2 Diabetes,45,Akkermansia muciniphila
62,63,Elevated,7,Type 2 Diabetes,46,Bacteroides intestinalis
63,64,Elevated,7,Type 2 Diabetes,47,Clostridium boltae
64,65,Elevated,7,Type 2 Diabetes,48,Clostridium hathewayi
65,66,Elevated,7,Type 2 Diabetes,49,Clostridium ramosum
66,67,Elevated,7,Type 2 Diabetes,50,Clostridium symbiosum
67,68,Elevated,7,Type 2 Diabetes,4,Eggerthella lenta
68,69,Elevated,7,Type 2 Diabetes,51,Escherichia coli
69,70,Elevated,7,Type 2 Diabetes,52,Alistipes
70,71,Elevated,7,Type 2 Diabetes,53,Parabacteroides
71,72,Elevated,7,Type 2 Diabetes,54,Subdoligranulum
72,73,Elevated,7,Type 2 Diabetes,55,Lachnospiraceae
73,74,Reduced,7,Type 2 Diabetes,8,Eubacterium rectale
74,75,Reduced,7,Type 2 Diabetes,6,Faecalibacterium prausnitzii
75,76,Reduced,7,Type 2 Diabetes,56,Haemophilus parainfluenzae
76,77,Reduced,7,Type 2 Diabetes,57,Roseburia intestinalis
77,78,Reduced,7,Type 2 Diabetes,58,Roseburia Inulinivorans
78,79,Reduced,7,Type 2 Diabetes,59,Eubacterium
79,80,Reduced,7,Type 2 Diabetes,60,Erysipelotrichaceae
80,81,Reduced,8,Obesity,61,Bacteroides vulgatus
81,82,Elevated,8,Obesity,1,Lactobacillus
82,83,Reduced,9,Pouchitis,1,Lactobacillus
83,84,Reduced,9,Pouchitis,1,Lactobacillus
84,85,Reduced,9,Pouchitis,62,Streptococcus
85,86,Reduced,9,Pouchitis,62,Streptococcus
86,87,Elevated,9,Pouchitis,9,Clostridium
87,88,Elevated,9,Pouchitis,59,Eubacterium
88,89,Elevated,9,Pouchitis,14,Roseburia
89,90,Elevated,9,Pouchitis,9,Clostridium
90,91,Elevated,9,Pouchitis,59,Eubacterium
91,92,Elevated,9,Pouchitis,14,Roseburia
92,93,Elevated,9,Pouchitis,63,Escherichia
93,94,Elevated,9,Pouchitis,62,Streptococcus
94,95,Reduced,9,Pouchitis,36,Bacteroides
95,96,Reduced,9,Pouchitis,53,Parabacteroides
96,97,Elevated,9,Pouchitis,44,Prevotella
97,98,Elevated,9,Pouchitis,9,Clostridium
98,99,Elevated,9,Pouchitis,64,Lachnospira
99,100,Elevated,9,Pouchitis,14,Roseburia
100,101,Reduced,9,Pouchitis,65,Faecalibacterium
101,102,Reduced,9,Pouchitis,66,Acidaminococcus
102,103,Elevated,9,Pouchitis,35,Veillonella
103,104,Elevated,9,Pouchitis,67,Akkermansia
104,105,Elevated,9,Pouchitis,68,Citrobacter
105,106,Reduced,9,Pouchitis,63,Escherichia
106,107,Elevated,9,Pouchitis,69,Leptospira
107,108,Elevated,9,Pouchitis,70,Pseudoalteromonas
108,109,Elevated,9,Pouchitis,71,Desulfosporosinus
109,110,Elevated,9,Pouchitis,72,Microcystis
110,111,Elevated,9,Pouchitis,73,Methylobacter
111,112,Elevated,10,Short Bowel Syndrome,63,Escherichia
112,113,Elevated,10,Short Bowel Syndrome,74,Shigella
113,114,Elevated,10,Short Bowel Syndrome,62,Streptococcus
114,115,Reduced,10,Short Bowel Syndrome,52,Alistipes
115,116,Reduced,10,Short Bowel Syndrome,53,Parabacteroides
116,117,Reduced,10,Short Bowel Syndrome,55,Lachnospiraceae
117,118,Reduced,11,Acquired Immunodeficiency Syndrome,75,Ruminococcus callidus
118,119,Reduced,11,Acquired Immunodeficiency Syndrome,76,Ruminococcus bromii
119,120,Reduced,12,Laryngeal carcinoma,62,Streptococcus
120,121,Elevated,12,Laryngeal carcinoma,77,Fusobacterium
121,122,Elevated,12,Laryngeal carcinoma,44,Prevotella
122,123,Elevated,12,Laryngeal carcinoma,78,Parvimonas
123,124,Elevated,12,Laryngeal carcinoma,79,Peptostreptococcus
124,125,Elevated,12,Laryngeal carcinoma,80,Dialister
125,126,Reduced,12,Laryngeal carcinoma,81,Mobiluncus
126,127,Elevated,12,Laryngeal carcinoma,82,Erysipelotrichaceae incertae sedis
127,128,Elevated,12,Laryngeal carcinoma,83,Serratia
128,129,Elevated,12,Laryngeal carcinoma,84,Proteus
129,130,Reduced,12,Laryngeal carcinoma,85,Pyramidobacter
130,131,Reduced,12,Laryngeal carcinoma,86,Hallella
131,132,Elevated,12,Laryngeal carcinoma,87,Methylobacterium
132,133,Elevated,12,Laryngeal carcinoma,88,Peptostreptococcaceae incertae sedis
133,134,Elevated,12,Laryngeal carcinoma,89,Selenomonas
134,135,Elevated,12,Laryngeal carcinoma,90,Mycoplasma
135,136,Elevated,12,Laryngeal carcinoma,91,Catonella
136,137,Elevated,12,Laryngeal carcinoma,92,Aggregatibacter
137,138,Elevated,12,Laryngeal carcinoma,93,Staphylococcus
138,139,Elevated,12,Laryngeal carcinoma,94,Treponema
139,140,Elevated,12,Laryngeal carcinoma,95,Schlegelella
140,141,Elevated,12,Laryngeal carcinoma,96,Moraxella
141,142,Elevated,12,Laryngeal carcinoma,97,Capnocytophaga
142,143,Elevated,12,Laryngeal carcinoma,98,Helicobacter
143,144,Elevated,12,Laryngeal carcinoma,99,Pandoraea
144,145,Elevated,12,Laryngeal carcinoma,100,Abiotrophia
145,146,Elevated,13,Psoriasis,62,Streptococcus
146,147,Reduced,13,Psoriasis,101,Propionibacterium
147,148,Reduced,13,Psoriasis,101,Propionibacterium
148,149,Elevated,14,Cystic Fibrosis,102,Aeromonas
149,150,Elevated,14,Cystic Fibrosis,103,Ferribacter thermoautotrophicus
150,151,Elevated,14,Cystic Fibrosis,104,Mannheimia
151,152,Reduced,14,Cystic Fibrosis,105,Lyrodus pedicellatus
152,153,Reduced,14,Cystic Fibrosis,106,Nitrosomonas eutropha
153,154,Reduced,14,Cystic Fibrosis,107,Calyptogena magnifica
154,155,Reduced,14,Cystic Fibrosis,108,Fucophilus fucoidanolyticus
155,156,Reduced,14,Cystic Fibrosis,109,Dietzia maris
156,157,Reduced,14,Cystic Fibrosis,110,Clostridium acetobutylicum
157,158,Reduced,14,Cystic Fibrosis,111,Bifidobacterium breve
158,159,Reduced,14,Cystic Fibrosis,112,Thermosipho
159,160,Reduced,14,Cystic Fibrosis,113,Thiomicrospira crunogena
160,161,Reduced,14,Cystic Fibrosis,114,Sphingobacterium
161,162,Reduced,14,Cystic Fibrosis,115,Hymenobacter
162,163,Reduced,14,Cystic Fibrosis,116,Nodularia sphaerocarpa
163,164,Reduced,14,Cystic Fibrosis,117,Bifidobacterium thermacidophilum porcinum
164,165,Reduced,14,Cystic Fibrosis,22,Bifidobacterium adolescentis
165,166,Reduced,14,Cystic Fibrosis,118,Mitrastema yamamotoi
166,167,Reduced,14,Cystic Fibrosis,119,Symbiobacterium toebii
167,168,Reduced,14,Cystic Fibrosis,120,Sphingopyxis flavimaris
168,169,Reduced,14,Cystic Fibrosis,121,Corynebacterium jeikeium
169,170,Elevated,15,Chronic Obstructive Pulmonary Disease,122,Streptococcus pneumoniae
170,171,Elevated,15,Chronic Obstructive Pulmonary Disease,123,Klebsiella pneumoniae
171,172,Elevated,15,Chronic Obstructive Pulmonary Disease,37,Pseudomonas aeruginosa
172,173,Reduced,3,Crohn's Disease,124,Anaerotruncus
173,174,Reduced,3,Crohn's Disease,125,Bacillus
174,175,Reduced,3,Crohn's Disease,36,Bacteroides
175,176,Reduced,3,Crohn's Disease,126,Cellulosilyticum
176,177,Reduced,3,Crohn's Disease,127,Christensenella
177,178,Reduced,3,Crohn's Disease,68,Citrobacter
178,179,Reduced,3,Crohn's Disease,128,Coprococcus
179,180,Reduced,3,Crohn's Disease,2,Desulfovibrio
180,181,Reduced,3,Crohn's Disease,42,Enterobacter
181,182,Reduced,3,Crohn's Disease,59,Eubacterium
182,183,Reduced,3,Crohn's Disease,65,Faecalibacterium
183,184,Reduced,3,Crohn's Disease,129,Holdemania
184,185,Reduced,3,Crohn's Disease,64,Lachnospira
185,186,Reduced,3,Crohn's Disease,1,Lactobacillus
186,187,Reduced,3,Crohn's Disease,130,Odoribacter
187,188,Reduced,3,Crohn's Disease,53,Parabacteroides
188,189,Reduced,3,Crohn's Disease,44,Prevotella
189,190,Reduced,3,Crohn's Disease,131,Pseudoflavonifractor
190,191,Reduced,3,Crohn's Disease,14,Roseburia
191,192,Reduced,3,Crohn's Disease,132,Ruminococcus
192,193,Reduced,3,Crohn's Disease,133,Sarcina
193,194,Reduced,3,Crohn's Disease,54,Subdoligranulum
194,195,Reduced,3,Crohn's Disease,134,Turicibacter
195,196,Elevated,3,Crohn's Disease,135,Actinomyces
196,197,Elevated,3,Crohn's Disease,33,Bifidobacterium
197,198,Elevated,3,Crohn's Disease,41,Enterococcus
198,199,Elevated,3,Crohn's Disease,63,Escherichia
199,200,Reduced,3,Crohn's Disease,136,Blautia faecis
200,201,Reduced,3,Crohn's Disease,58,Roseburia Inulinivorans
201,202,Reduced,3,Crohn's Disease,137,Ruminococcus torques
202,203,Reduced,3,Crohn's Disease,138,Clostridium lavalense
203,204,Reduced,3,Crohn's Disease,139,Bacteriodes uniformis
204,205,Reduced,3,Crohn's Disease,6,Faecalibacterium prausnitzii
205,206,Reduced,3,Crohn's Disease,140,Christensenella minuta
206,207,Reduced,3,Crohn's Disease,141,Holdemania filiformis
207,208,Reduced,3,Crohn's Disease,143,Eubacterium fissicatena
208,209,Reduced,3,Crohn's Disease,144,Flavonifractor plautii
209,210,Reduced,3,Crohn's Disease,145,Alistipes putredinis
210,211,Reduced,3,Crohn's Disease,146,Clostridium lituseburense
211,212,Reduced,3,Crohn's Disease,57,Roseburia intestinalis
212,213,Reduced,3,Crohn's Disease,147,Clostridium asparagiform
213,214,Reduced,3,Crohn's Disease,148,Clostrdium disporicum
214,215,Reduced,3,Crohn's Disease,149,Clostridium lactafifermentans
215,216,Reduced,3,Crohn's Disease,150,Pseudoflavonifractor capillosus
216,217,Reduced,3,Crohn's Disease,151,Eubacterium ventriosum
217,218,Reduced,3,Crohn's Disease,152,Eubacterium desmolans
218,220,Elevated,22,Colorectal cancer,36,Bacteroides
219,221,Elevated,22,Colorectal cancer,44,Prevotella
220,222,Elevated,4,Ulcerative Colitis,20,Ruminococcus gnavus
221,223,Elevated,4,Ulcerative Colitis,137,Ruminococcus torques
222,224,Reduced,4,Ulcerative Colitis,45,Akkermansia muciniphila
223,225,Elevated,3,Crohn's Disease,20,Ruminococcus gnavus
224,226,Elevated,3,Crohn's Disease,137,Ruminococcus torques
225,227,Reduced,3,Crohn's Disease,45,Akkermansia muciniphila
226,228,Reduced,23,Inflammatory Bowel Disease,163,Bacteroides thetaiotaomicron
227,229,Elevated,23,Inflammatory Bowel Disease,164,Pseudomonas straminea
228,230,Elevated,23,Inflammatory Bowel Disease,165,Bacillus licheniformis
229,231,Elevated,23,Inflammatory Bowel Disease,166,Gluconobacter oxydans
230,232,Reduced,1,Autism,43,Bifidobacterium
231,233,Elevated,1,Autism,1,Lactobacillus
232,234,Reduced,1,Autism,41,Enterococcus
233,235,Elevated,1,Autism,125,Bacillus
234,236,Reduced,1,Autism,167,Klebsiella oxytoca
235,237,Reduced,1,Autism,168,Enterobacter cloacae
236,238,Elevated,1,Autism,169,Hathewaya histolytica
237,241,Elevated,1,Autism,15,Sutterella wadsworthensis
238,242,Elevated,1,Autism,170,Sutterella stercoricanis
239,243,Elevated,1,Autism,67,Akkermansia
240,244,Reduced,1,Autism,171,Veillonellaceae
241,245,Reduced,1,Autism,44,Prevotella
242,246,Reduced,1,Autism,128,Coprococcus
243,247,Elevated,1,Autism,2,Desulfovibrio
244,249,Elevated,1,Autism,173,Desulfovibrio desulfuricans
245,250,Elevated,1,Autism,174,Desulfovibrio intestinalis
246,251,Elevated,1,Autism,61,Bacteroides vulgatus
247,252,Elevated,1,Autism,172,Desulfovibrio piger
248,253,Elevated,1,Autism,175,Sutterella
249,254,Elevated,1,Autism,137,Ruminococcus torques
250,255,Elevated,1,Autism,175,Sutterella
251,256,Elevated,1,Autism,47,Clostridium boltae
252,257,Elevated,1,Autism,48,Clostridium hathewayi
253,258,Reduced,1,Autism,177,Clostridium methylpentosum
254,259,Reduced,1,Autism,21,Dialister invisus
255,260,Elevated,1,Autism,179,Eubacterium eligens
256,261,Reduced,1,Autism,180,Eubacterium ruminantium
257,262,Reduced,1,Autism,181,Phascolarctobacterium faecium
258,263,Reduced,1,Autism,57,Roseburia intestinalis
259,265,Elevated,1,Autism,10,Bacteroides stercoris
260,266,Elevated,1,Autism,61,Bacteroides vulgatus
261,267,Elevated,1,Autism,183,Parabacteroides distasonis
262,268,Elevated,1,Autism,184,Prevotella oulorum
263,269,Reduced,1,Autism,185,Collinsella
264,270,Reduced,1,Autism,33,Bifidobacterium
265,271,Reduced,1,Autism,39,Bifidobacterium longum
266,272,Reduced,1,Autism,187,Bifidobacterium angulatum
267,273,Reduced,1,Autism,21,Dialister invisus
268,274,Reduced,1,Autism,188,Clostridium leptum
269,275,Elevated,1,Autism,144,Flavonifractor plautii
270,276,Elevated,1,Autism,182,Sporobacter termitidis
271,277,Elevated,1,Autism,189,Clostridium aminobutyricum
272,278,Elevated,1,Autism,190,Paraclostridium bifermentans
273,279,Reduced,1,Autism,191,Clostridium butyricum
274,280,Elevated,1,Autism,192,Clostridium clostridioforme
275,281,Elevated,1,Autism,193,Clostridium cocleatum
276,282,Elevated,1,Autism,194,Clostridioides difficile
277,283,Reduced,1,Autism,195,Clostridium disporicum
278,284,Reduced,1,Autism,196,Terrisporobacter glycolicus
279,285,Elevated,1,Autism,197,Clostridium innocuum
280,286,Elevated,1,Autism,190,Paraclostridium bifermentans
281,287,Elevated,1,Autism,178,Flavonifractor plautii
282,288,Reduced,1,Autism,201,Clostridium perfringens
283,289,Elevated,1,Autism,49,Clostridium ramosum
284,290,Elevated,1,Autism,202,Erysipelatoclostridium ramosum
285,291,Elevated,1,Autism,203,Clostridium scindens
286,292,Elevated,1,Autism,204,Paeniclostridium sordellii
287,293,Reduced,1,Autism,205,Clostridium spiroforme
288,294,Elevated,1,Autism,206,Clostridium subterminale
289,295,Elevated,1,Autism,50,Clostridium symbiosum
290,296,Reduced,1,Autism,207,Clostridium tertium
291,297,Reduced,1,Autism,208,Ruminococcus albus
292,298,Elevated,1,Autism,209,Ruminococcus flavefaciens
293,299,Elevated,1,Autism,20,Ruminococcus gnavus
294,300,Reduced,1,Autism,210,Ruminococcus lactaris
295,301,Elevated,1,Autism,137,Ruminococcus torques
296,302,Elevated,24,Major depressive disorder,212,Bacteroidales
297,303,Reduced,24,Major depressive disorder,55,Lachnospiraceae
298,304,Elevated,24,Major depressive disorder,52,Alistipes
299,305,Elevated,24,Major depressive disorder,213,Oscillibacter
300,306,Elevated,24,Major depressive disorder,52,Alistipes
301,307,Elevated,24,Major depressive disorder,214,Blautia
302,308,Elevated,24,Major depressive disorder,215,Lachnospiraceae incertae sedis
303,309,Elevated,24,Major depressive disorder,216,Megamonas
304,310,Elevated,24,Major depressive disorder,53,Parabacteroides
305,311,Elevated,24,Major depressive disorder,217,Phascolarctobacterium
306,312,Elevated,24,Major depressive disorder,218,Parasutterella
307,313,Elevated,24,Major depressive disorder,213,Oscillibacter
308,314,Elevated,24,Major depressive disorder,14,Roseburia
309,315,Reduced,24,Major depressive disorder,36,Bacteroides
310,316,Reduced,24,Major depressive disorder,80,Dialister
311,317,Reduced,24,Major depressive disorder,65,Faecalibacterium
312,318,Reduced,24,Major depressive disorder,44,Prevotella
313,319,Reduced,24,Major depressive disorder,132,Ruminococcus
314,320,Elevated,25,Bipolar disorder,65,Faecalibacterium
315,321,Reduced,2,Multiple Sclerosis,220,Bacteroidaceae
316,322,Reduced,2,Multiple Sclerosis,65,Faecalibacterium
317,323,Elevated,2,Multiple Sclerosis,132,Ruminococcus
318,324,Elevated,2,Multiple Sclerosis,221,Proteobacteria
319,325,Elevated,2,Multiple Sclerosis,222,Actinobacteria
320,326,Elevated,2,Multiple Sclerosis,43,Bifidobacterium
321,327,Elevated,2,Multiple Sclerosis,2,Desulfovibrio
322,328,Elevated,2,Multiple Sclerosis,127,Christensenella
323,329,Reduced,2,Multiple Sclerosis,55,Lachnospiraceae
324,330,Reduced,2,Multiple Sclerosis,219,Ruminococcaceae
325,331,Elevated,2,Multiple Sclerosis,67,Akkermansia
326,332,Elevated,2,Multiple Sclerosis,53,Parabacteroides
327,333,Elevated,2,Multiple Sclerosis,223,Methanobrevibacter
328,334,Elevated,2,Multiple Sclerosis,36,Bacteroides
329,335,Elevated,2,Multiple Sclerosis,223,Methanobrevibacter
330,336,Elevated,2,Multiple Sclerosis,67,Akkermansia
331,337,Reduced,2,Multiple Sclerosis,224,Butyricimonas
332,338,Elevated,26,Chronic fatigue syndrome,225,Enterococcus faecalis
333,339,Elevated,26,Chronic fatigue syndrome,226,Streptococcus sanguinis
334,343,Elevated,26,Chronic fatigue syndrome,227,Ethanoligenens
335,344,Elevated,26,Chronic fatigue syndrome,228,Moryella
336,345,Reduced,26,Chronic fatigue syndrome,132,Ruminococcus
337,346,Reduced,26,Chronic fatigue syndrome,59,Eubacterium
338,347,Reduced,26,Chronic fatigue syndrome,134,Turicibacter
339,348,Reduced,26,Chronic fatigue syndrome,129,Holdemania
340,349,Elevated,26,Chronic fatigue syndrome,229,Lactonifactor
341,350,Reduced,26,Chronic fatigue syndrome,230,Syntrophococcus
342,351,Elevated,26,Chronic fatigue syndrome,52,Alistipes
343,352,Elevated,26,Chronic fatigue syndrome,229,Lactonifactor
344,353,Reduced,26,Chronic fatigue syndrome,231,Asaccharobacter
345,354,Elevated,26,Chronic fatigue syndrome,232,Enterobacteriaceae
346,355,Reduced,26,Chronic fatigue syndrome,219,Ruminococcaceae
347,356,Reduced,26,Chronic fatigue syndrome,233,Bifidobacteriaceae
348,357,Elevated,27,Parkinson's Disease,232,Enterobacteriaceae
349,358,Elevated,27,Parkinson's Disease,45,Akkermansia muciniphila
350,359,Elevated,27,Parkinson's Disease,43,Bifidobacterium
351,360,Elevated,27,Parkinson's Disease,234,Methanobrevibacter smithii
352,361,Reduced,27,Parkinson's Disease,6,Faecalibacterium prausnitzii
353,362,Reduced,27,Parkinson's Disease,235,Prevotellaceae
354,363,Elevated,27,Parkinson's Disease,36,Bacteroides
355,364,Reduced,27,Parkinson's Disease,214,Blautia
356,365,Reduced,27,Parkinson's Disease,128,Coprococcus
357,366,Reduced,27,Parkinson's Disease,236,Dorea
358,367,Reduced,27,Parkinson's Disease,236,Dorea
359,368,Reduced,27,Parkinson's Disease,14,Roseburia
360,370,Elevated,27,Parkinson's Disease,237,Oscillospira
361,371,Elevated,27,Parkinson's Disease,238,Ralstonia
362,372,Elevated,27,Parkinson's Disease,67,Akkermansia
363,373,Reduced,27,Parkinson's Disease,65,Faecalibacterium
364,374,Reduced,27,Parkinson's Disease,235,Prevotellaceae
365,376,Elevated,27,Parkinson's Disease,33,Bifidobacterium
366,377,Elevated,27,Parkinson's Disease,1,Lactobacillus
367,378,Elevated,27,Parkinson's Disease,127,Christensenella
368,379,Reduced,27,Parkinson's Disease,214,Blautia
369,380,Reduced,27,Parkinson's Disease,14,Roseburia
370,381,Reduced,27,Parkinson's Disease,55,Lachnospiraceae
371,382,Reduced,27,Parkinson's Disease,65,Faecalibacterium
372,383,Elevated,27,Parkinson's Disease,67,Akkermansia
373,384,Reduced,27,Parkinson's Disease,239,Blautia coccoides
374,385,Reduced,27,Parkinson's Disease,188,Clostridium leptum
375,386,Reduced,27,Parkinson's Disease,240,Bacteroides fragilis
376,387,Elevated,27,Parkinson's Disease,1,Lactobacillus
377,388,Elevated,27,Parkinson's Disease,44,Prevotella
378,389,Elevated,27,Parkinson's Disease,35,Veillonella
379,390,Elevated,27,Parkinson's Disease,243,Solobacterium
380,391,Elevated,27,Parkinson's Disease,241,Lactobacillaceae
381,392,Elevated,27,Parkinson's Disease,242,Coriobacteriaceae
382,393,Reduced,27,Parkinson's Disease,97,Capnocytophaga
383,394,Reduced,27,Parkinson's Disease,244,Rothia
384,396,Reduced,27,Parkinson's Disease,246,Leptotrichia
385,397,Reduced,27,Parkinson's Disease,135,Actinomyces
386,398,Reduced,27,Parkinson's Disease,247,Haemophilus
387,399,Reduced,27,Parkinson's Disease,248,Neisseria
388,400,Reduced,27,Parkinson's Disease,249,Gemella
389,401,Reduced,27,Parkinson's Disease,250,Corynebacterium
390,402,Reduced,27,Parkinson's Disease,251,Granulicatella
391,403,Reduced,27,Parkinson's Disease,252,Pasteurellaceae
392,404,Reduced,27,Parkinson's Disease,253,Micrococcaceae
393,405,Reduced,27,Parkinson's Disease,254,Carnobacteriaceae
394,406,Elevated,27,Parkinson's Disease,228,Moryella
395,407,Elevated,27,Parkinson's Disease,60,Erysipelotrichaceae
396,408,Reduced,28,Alzheimer's Disease,8,Eubacterium rectale
397,409,Elevated,28,Alzheimer's Disease,63,Escherichia
398,410,Elevated,28,Alzheimer's Disease,74,Shigella
399,411,Reduced,28,Alzheimer's Disease,240,Bacteroides fragilis
400,412,Reduced,29,Cirrhosis,256,Porphyromonadaceae
401,413,Elevated,29,Cirrhosis,257,Staphylococcaceae
402,414,Elevated,29,Cirrhosis,258,Enterococcaceae
403,415,Reduced,29,Cirrhosis,55,Lachnospiraceae
404,416,Reduced,29,Cirrhosis,255,Clostridiales XIV
405,417,Reduced,29,Cirrhosis,219,Ruminococcaceae
406,418,Reduced,29,Cirrhosis,171,Veillonellaceae
407,419,Elevated,29,Cirrhosis,232,Enterobacteriaceae
408,420,Elevated,29,Cirrhosis,232,Enterobacteriaceae
409,421,Elevated,29,Cirrhosis,252,Pasteurellaceae
410,422,Elevated,29,Cirrhosis,259,Streptococcaceae
411,423,Elevated,29,Cirrhosis,260,Fusobacteriaceae
412,424,Reduced,29,Cirrhosis,64,Lachnospira
413,425,Elevated,29,Cirrhosis,171,Veillonellaceae
414,426,Reduced,29,Cirrhosis,220,Bacteroidaceae
415,427,Reduced,3,Crohn's Disease,188,Clostridium leptum
416,428,Reduced,4,Ulcerative Colitis,239,Blautia coccoides
417,429,Elevated,30,Infective colitis,36,Bacteroides
418,430,Elevated,3,Crohn's Disease,33,Bifidobacterium
419,431,Elevated,3,Crohn's Disease,185,Collinsella
420,432,Reduced,3,Crohn's Disease,86,Hallella
421,433,Reduced,4,Ulcerative Colitis,44,Prevotella
422,434,Reduced,3,Crohn's Disease,14,Roseburia
423,435,Elevated,3,Crohn's Disease,132,Ruminococcus
424,436,Elevated,3,Crohn's Disease,261,Anaerovorax
425,437,Reduced,3,Crohn's Disease,262,Peptococcus
426,438,Elevated,3,Crohn's Disease,66,Acidaminococcus
427,439,Reduced,4,Ulcerative Colitis,263,Catenibacterium
428,440,Elevated,3,Crohn's Disease,1,Lactobacillus
429,441,Reduced,3,Crohn's Disease,264,Lactococcus
430,442,Reduced,4,Ulcerative Colitis,62,Streptococcus
431,443,Elevated,3,Crohn's Disease,102,Aeromonas
432,444,Elevated,3,Crohn's Disease,68,Citrobacter
433,445,Elevated,3,Crohn's Disease,74,Shigella
434,446,Reduced,4,Ulcerative Colitis,265,Asteroleplasma
435,447,Reduced,3,Crohn's Disease,8,Eubacterium rectale
436,448,Reduced,3,Crohn's Disease,188,Clostridium leptum
437,449,Reduced,3,Crohn's Disease,6,Faecalibacterium prausnitzii
438,450,Reduced,3,Crohn's Disease,208,Ruminococcus albus
439,451,Reduced,3,Crohn's Disease,75,Ruminococcus callidus
440,452,Reduced,3,Crohn's Disease,76,Ruminococcus bromii
441,453,Reduced,3,Crohn's Disease,240,Bacteroides fragilis
