,Colon cancer,Periodontal,Gastric and duodenal ulcer,Gastro-oesophageal reflux,Guttate psoriasis,Atopy,Diarrhea Irritable bowel syndrome(IBS),Irritable bowel syndrome(IBS),Constipation Irritable bowel syndrome(IBS),Obesity,Ileal Crohn's disease(CD),Bacterial Vaginosis,Infectious colitis,Ulcerative colitis,Crohn's disease(CD),Allergic sensitization,Atopic dermatitis,Atopic sensitisation,Eczema,Recurrent wheeze,Allergy,Asthma,Inflammatory bowel disease(IBD),Cystic fibrosis,Rheumatoid arthrits,Psoriasis,Necrotizing Enterocolitis,Systemic inflammatory response syndrome,COPD,Type 2 diabetes,Type 1 diabetes,Colorectal carcinoma,Kidney stones,Whipple's disease,Liver cirrhosis,Allergic asthma,Clostridium difficile infection(CDI),Skin and mucosal infections,New-onset untreated rheumatoid arthrits
Ileal Crohn's disease(CD),0.1414141414141414,0.0,0.2207792207792208,0.06766917293233081,0.0,0.0,0.15789473684210523,0.15789473684210523,0.15789473684210523,0.0,1.0,0.0,0.37662337662337664,0.46341463414634154,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7808219178082192,0.05263157894736842,0.0,0.0,0.3142857142857143,0.0,0.0,0.0,0.0,0.1564245810055866,0.0,0.15954415954415954,0.06493506493506493,0.0,0.0,0.0,0.0
Bacterial Vaginosis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045226130653266326,0.15789473684210523,0.0,0.0,0.2692307692307692,0.22448979591836732,0.0
Infectious colitis,0.31384615384615383,0.0,0.23809523809523808,0.1020408163265306,0.0,0.0,0.3469387755102041,0.3469387755102041,0.3469387755102041,0.0,0.37662337662337664,0.0,1.0,0.7303370786516854,0.37662337662337664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05882352941176471,0.0,0.0,0.37662337662337664,0.0,0.0,0.0,0.0,0.34196891191709844,0.0,0.17941952506596306,0.07142857142857142,0.0,0.0,0.0,0.0
Ulcerative colitis,0.2144927536231884,0.0,0.19101123595505615,0.05732484076433121,0.0,0.0,0.2356687898089172,0.2356687898089172,0.2356687898089172,0.0,0.46341463414634154,0.0,0.7303370786516854,1.0,0.46341463414634154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6705882352941176,0.046728971962616814,0.0,0.0,0.2682926829268293,0.0,0.0,0.0,0.0,0.2561576354679803,0.0,0.14035087719298245,0.05617977528089888,0.0,0.0,0.0,0.0
Crohn's disease(CD),0.1414141414141414,0.0,0.2207792207792208,0.06766917293233081,0.0,0.0,0.15789473684210523,0.15789473684210523,0.15789473684210523,0.0,1.0,0.0,0.37662337662337664,0.46341463414634154,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7808219178082192,0.05263157894736842,0.0,0.0,0.3142857142857143,0.0,0.0,0.0,0.0,0.1564245810055866,0.0,0.15954415954415954,0.06493506493506493,0.0,0.0,0.0,0.0
Allergic sensitization,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33333333333333326,1.0,0.0,0.0,1.0,0.34177215189873417,0.0,0.0,0.1463414634146341,0.0,0.0,0.0,0.0,0.0,0.16901408450704225,0.0,0.0,0.0,0.0,0.34177215189873417,0.0,0.0,0.1463414634146341
Atopic dermatitis,0.0,0.0,0.0,0.0,0.125,0.33333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333326,1.0,0.33333333333333326,0.42307692307692313,0.0,0.33333333333333326,0.17355371900826447,0.0,0.14285714285714285,0.08064516129032259,0.125,0.0,0.0,0.0,0.0,0.05309734513274336,0.0,0.0,0.0,0.0,0.17355371900826447,0.0,0.07692307692307693,0.08064516129032259
Atopic sensitisation,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33333333333333326,1.0,0.0,0.0,1.0,0.34177215189873417,0.0,0.0,0.1463414634146341,0.0,0.0,0.0,0.0,0.0,0.16901408450704225,0.0,0.0,0.0,0.0,0.34177215189873417,0.0,0.0,0.1463414634146341
Eczema,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42307692307692313,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04166666666666666,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10112359550561796,0.04166666666666666
Recurrent wheeze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09574468085106384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042553191489361694,0.0297029702970297,0.0,0.0,0.0,0.027649769585253454,0.0,0.04081632653061224,0.0,0.0,0.0,0.0
Allergy,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33333333333333326,1.0,0.0,0.0,1.0,0.34177215189873417,0.0,0.0,0.1463414634146341,0.0,0.0,0.0,0.0,0.0,0.16901408450704225,0.0,0.0,0.0,0.0,0.34177215189873417,0.0,0.0,0.1463414634146341
Asthma,0.0,0.0,0.0,0.0,0.0,0.34177215189873417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34177215189873417,0.17355371900826447,0.34177215189873417,0.0,0.0,0.34177215189873417,1.0,0.0,0.17391304347826086,0.04424778761061946,0.0,0.0,0.0,0.3,0.0,0.04901960784313725,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04424778761061946
Inflammatory bowel disease(IBD),0.22653721682847897,0.0,0.3,0.1079136690647482,0.0,0.0,0.2517985611510791,0.2517985611510791,0.2517985611510791,0.0,0.7808219178082192,0.0,0.5,0.6705882352941176,0.7808219178082192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.061224489795918366,0.0,0.0,0.4520547945205479,0.0,0.0,0.0,0.0,0.22702702702702704,0.0,0.23140495867768596,0.07499999999999998,0.0,0.0,0.0,0.0
Cystic fibrosis,0.04534005037783375,0.0,0.05882352941176471,0.04918032786885246,0.0,0.0,0.04918032786885246,0.04918032786885246,0.04918032786885246,0.0,0.05263157894736842,0.0,0.05882352941176471,0.046728971962616814,0.05263157894736842,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.17391304347826086,0.061224489795918366,1.0,0.0,0.0,0.05263157894736842,0.0,0.17142857142857143,0.0,0.0,0.04366812227074236,0.0,0.04434589800443459,0.0784313725490196,0.17391304347826086,0.0,0.0,0.0
Rheumatoid arthrits,0.0,0.0,0.0,0.0,0.045454545454545456,0.1463414634146341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1463414634146341,0.08064516129032259,0.1463414634146341,0.04166666666666666,0.0,0.1463414634146341,0.04424778761061946,0.0,0.0,1.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.22857142857142856,0.0,0.0,0.0,0.0,0.04424778761061946,0.0,0.027522935779816515,1.0
Psoriasis,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.045454545454545456
Necrotizing Enterocolitis,0.1414141414141414,0.0,0.2207792207792208,0.06766917293233081,0.0,0.0,0.15789473684210523,0.15789473684210523,0.15789473684210523,0.0,0.3142857142857143,0.0,0.37662337662337664,0.2682926829268293,0.3142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4520547945205479,0.05263157894736842,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1564245810055866,0.0,0.15954415954415954,0.06493506493506493,0.0,0.0,0.0,0.0
Systemic inflammatory response syndrome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039473684210526314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042553191489361694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10843373493975904,0.0,0.0,0.0,0.03314917127071823,0.0,0.15,0.0,0.0,0.0,0.0
COPD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0297029702970297,0.0,0.3,0.0,0.17142857142857143,0.0,0.0,0.0,0.10843373493975904,1.0,0.0,0.0,0.0,0.020512820512820513,0.0,0.10344827586206896,0.3,0.0,0.0,0.0
Type 2 diabetes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0273972602739726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.46341463414634154,0.0,0.0,0.10256410256410256,0.0,0.0,0.0,0.0,0.0
Type 1 diabetes,0.0,0.0,0.0,0.0,0.0,0.16901408450704225,0.0,0.0,0.0,0.02352941176470588,0.0,0.0,0.0,0.0,0.0,0.16901408450704225,0.05309734513274336,0.16901408450704225,0.0,0.0,0.16901408450704225,0.04901960784313725,0.0,0.0,0.22857142857142856,0.0,0.0,0.0,0.0,0.46341463414634154,1.0,0.0,0.0,0.09022556390977443,0.0,0.04901960784313725,0.0,0.0,0.22857142857142856
Colorectal carcinoma,0.744,0.0,0.17616580310880828,0.05232558139534884,0.0,0.0,0.2616279069767442,0.2616279069767442,0.2616279069767442,0.0,0.1564245810055866,0.0,0.34196891191709844,0.2561576354679803,0.1564245810055866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22702702702702704,0.04366812227074236,0.0,0.0,0.1564245810055866,0.0,0.0,0.0,0.0,1.0,0.0,0.13053613053613053,0.05181347150259067,0.0,0.0,0.0,0.0
Kidney stones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022099447513812157,0.0,0.045226130653266326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027649769585253454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03314917127071823,0.020512820512820513,0.0,0.0,0.0,1.0,0.0,0.031746031746031744,0.0,0.0,0.0,0.0
Whipple's disease,0.11413043478260868,0.0,0.17941952506596306,0.05341246290801186,0.0,0.0,0.12462908011869436,0.12462908011869436,0.12462908011869436,0.03305785123966942,0.15954415954415954,0.15789473684210523,0.17941952506596306,0.14035087719298245,0.15954415954415954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23140495867768596,0.04434589800443459,0.0,0.0,0.15954415954415954,0.0,0.0,0.10256410256410256,0.09022556390977443,0.13053613053613053,0.0,1.0,0.052770448548812667,0.0,0.22388059701492535,0.15180722891566265,0.0
Liver cirrhosis,0.055384615384615386,0.0,0.07142857142857142,0.061224489795918366,0.0,0.0,0.061224489795918366,0.061224489795918366,0.061224489795918366,0.0375,0.06493506493506493,0.0,0.07142857142857142,0.05617977528089888,0.06493506493506493,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.0,0.07499999999999998,0.0784313725490196,0.0,0.0,0.06493506493506493,0.15,0.10344827586206896,0.0,0.0,0.05181347150259067,0.031746031746031744,0.052770448548812667,1.0,0.0,0.0,0.0,0.0
Allergic asthma,0.0,0.0,0.0,0.0,0.0,0.34177215189873417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34177215189873417,0.17355371900826447,0.34177215189873417,0.0,0.0,0.34177215189873417,1.0,0.0,0.17391304347826086,0.04424778761061946,0.0,0.0,0.0,0.3,0.0,0.04901960784313725,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04424778761061946
Clostridium difficile infection(CDI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22388059701492535,0.0,0.0,1.0,0.32926829268292684,0.0
Skin and mucosal infections,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.22448979591836732,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.10112359550561796,0.0,0.0,0.0,0.0,0.0,0.027522935779816515,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15180722891566265,0.0,0.0,0.32926829268292684,1.0,0.027522935779816515
New-onset untreated rheumatoid arthrits,0.0,0.0,0.0,0.0,0.045454545454545456,0.1463414634146341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1463414634146341,0.08064516129032259,0.1463414634146341,0.04166666666666666,0.0,0.1463414634146341,0.04424778761061946,0.0,0.0,1.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.22857142857142856,0.0,0.0,0.0,0.0,0.04424778761061946,0.0,0.027522935779816515,1.0
