,Acute Lymphoblastic Leukemia,Alzheimer Disease,Amyotrophic Lateral Sclerosis,Atherosclerosis,Biliary Tract Neoplasms,Breast Neoplasms,Celiac Disease,Colorectal Neoplasms,Constipation,Coronary Artery Disease,Coronary Heart Disease,Crohn Disease,Diarrhea,Diverticular Diseases,Endometrial Neoplasms,Esophageal Neoplasms,Gallbladder Neoplasms,Gastroenteritis,Gastroesophageal Reflux,Head and Neck Neoplasms,Hypertension,Inflammatory Bowel Diseases,Irritable Bowel Syndrome,Laryngeal Neoplasms,Liver Neoplasms,Lung Neoplasms,Mouth Neoplasms,Ovarian Neoplasms,Pancreatic Neoplasms,Parkinson Disease,Peripheral Arterial Disease,Pharyngeal Neoplasms,Prostatic Neoplasms,Rectal Neoplasms,Squamous Intraepithelial Lesions,Stomach Neoplasms,Thrombosis,Thyroid Neoplasms,Tongue Neoplasms,Ulcerative Colitis,Urinary Bladder Neoplasms,Uterine Cervical Neoplasms,Vascular Stiffness
Coronary Heart Disease,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6455696202531646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2054794520547945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.39473684210526316,0.0,0.30337078651685395,0.0,0.0
Crohn Disease,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6455696202531646,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.13846153846153847,0.0,0.15384615384615385,0.0,0.0
Diarrhea,0.3230769230769231,0.0,0.0,0.06493506493506493,0.0,0.0,0.19444444444444445,0.0,0.4634146341463415,0.0,0.0,0.0,1.0,0.0,0.0989010989010989,0.0375,0.5555555555555556,0.06766917293233082,0.0,0.0,0.0,0.06493506493506493,0.0,0.0,0.0,0.056179775280898875,0.0,0.0,0.0,0.1414141414141414,0.1125,0.0,0.0,0.0,0.1564245810055866,0.7808219178082192,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0
Diverticular Diseases,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048484848484848485
Endometrial Neoplasms,0.13953488372093023,0.0,0.0,0.30612244897959184,0.08490566037735849,0.1836734693877551,0.0967741935483871,0.07142857142857142,0.08737864077669903,0.0,0.0,0.0,0.0989010989010989,0.0,1.0,0.2079207920792079,0.21428571428571427,0.2,0.5,0.0,0.1891891891891892,0.30612244897959184,0.09090909090909091,0.2857142857142857,0.09523809523809523,0.2727272727272727,0.0,0.20388349514563106,0.08571428571428572,0.30708661417322836,0.44554455445544555,0.0,0.2641509433962264,0.2079207920792079,0.31221719457013575,0.1276595744680851,0.07731958762886598,0.08571428571428572,0.0,0.030927835051546393,0.0,0.0,0.03686635944700461
Esophageal Neoplasms,0.05333333333333334,0.0,0.0,0.7241379310344828,0.06315789473684211,0.1724137931034483,0.036585365853658534,0.047872340425531915,0.03260869565217391,0.0,0.0,0.0,0.0375,0.0,0.2079207920792079,1.0,0.0821917808219178,0.032679738562091505,0.2054794520547945,0.0,0.06,0.3103448275862069,0.06818181818181818,0.10344827586206896,0.0782608695652174,0.2727272727272727,0.0,0.06521739130434782,0.06382978723404255,0.13353115727002968,0.2,0.0,0.09473684210526316,0.06666666666666667,0.135678391959799,0.04819277108433735,0.05232558139534884,0.032679738562091505,0.0,0.023255813953488372,0.0,0.0,0.03076923076923077
Gallbladder Neoplasms,0.7241379310344828,0.0,0.0,0.11428571428571428,0.0,0.0,0.23076923076923078,0.0,0.4666666666666667,0.0,0.0,0.0,0.5555555555555556,0.0,0.21428571428571427,0.0821917808219178,1.0,0.226890756302521,0.0,0.0,0.0,0.11428571428571428,0.0,0.0,0.0,0.0975609756097561,0.0,0.0,0.0,0.20074349442379183,0.2465753424657534,0.0,0.0,0.0,0.18181818181818182,0.6363636363636364,0.0,0.226890756302521,0.0,0.0,0.0,0.0,0.0
Gastroenteritis,0.12195121951219512,0.0,0.0,0.061224489795918366,0.0,0.0,0.06569343065693431,0.0,0.05732484076433121,0.0,0.0,0.0,0.06766917293233082,0.0,0.2,0.032679738562091505,0.226890756302521,1.0,0.0,0.0,0.0,0.061224489795918366,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.04240282685512368,0.09803921568627451,0.0,0.0,0.0,0.05232558139534884,0.1079136690647482,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0
Gastroesophageal Reflux,0.0,0.0,0.0,0.2571428571428571,0.19230769230769232,0.34285714285714286,0.0,0.17532467532467533,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2054794520547945,0.0,0.0,1.0,0.0,0.42168674698795183,0.2571428571428571,0.2112676056338028,0.6,0.1836734693877551,0.21951219512195122,0.0,0.4666666666666667,0.19480519480519481,0.1895910780669145,0.2054794520547945,0.0,0.5384615384615384,0.4794520547945205,0.16363636363636364,0.0,0.1956521739130435,0.0,0.0,0.07246376811594203,0.0,0.0,0.07453416149068323
Head and Neck Neoplasms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2054794520547945,0.2903225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3103448275862069,0.0,0.0,0.0,0.0,0.0,0.0,0.2542372881355932,0.0,0.25,0.0,0.0
Hypertension,0.0,0.0,0.0,0.09278350515463918,0.05714285714285714,0.15463917525773196,0.0,0.04326923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.1891891891891892,0.06,0.0,0.0,0.42168674698795183,0.0,1.0,0.09278350515463918,0.30612244897959184,0.21649484536082475,0.072,0.08256880733944955,0.0,0.37254901960784315,0.057692307692307696,0.03978779840848806,0.06,0.0,0.2,0.14,0.0410958904109589,0.0,0.046875,0.0,0.0,0.020833333333333332,0.0,0.0,0.027906976744186046
Inflammatory Bowel Diseases,0.08333333333333333,0.0,0.0,0.42857142857142855,0.09782608695652174,0.21428571428571427,0.06329113924050633,0.08241758241758242,0.056179775280898875,0.0,0.0,0.0,0.06493506493506493,0.0,0.30612244897959184,0.3103448275862069,0.11428571428571428,0.061224489795918366,0.2571428571428571,0.0,0.09278350515463918,1.0,0.10588235294117647,0.14285714285714285,0.10714285714285714,0.375,0.0,0.10112359550561797,0.0989010989010989,0.24923076923076923,0.3103448275862069,0.0,0.13043478260869565,0.10344827586206896,0.23316062176165803,0.075,0.09036144578313253,0.061224489795918366,0.0,0.03614457831325301,0.0,0.0,0.042328042328042326
Irritable Bowel Syndrome,0.0,0.0,0.0,0.10588235294117647,0.06451612903225806,0.17647058823529413,0.0,0.04891304347826087,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.06818181818181818,0.0,0.0,0.2112676056338028,0.0,0.30612244897959184,0.10588235294117647,1.0,0.10588235294117647,0.07964601769911504,0.09278350515463918,0.0,0.06666666666666667,0.06521739130434782,0.04559270516717325,0.06818181818181818,0.0,0.0967741935483871,0.06818181818181818,0.046153846153846156,0.0,0.05357142857142857,0.0,0.0,0.023809523809523808,0.0,0.0,0.031413612565445025
Laryngeal Neoplasms,0.0,0.0,0.0,0.14285714285714285,0.09782608695652174,0.21428571428571427,0.0,0.08241758241758242,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.10344827586206896,0.0,0.0,0.6,0.0,0.21649484536082475,0.14285714285714285,0.10588235294117647,1.0,0.10714285714285714,0.125,0.0,0.3258426966292135,0.0989010989010989,0.08307692307692308,0.10344827586206896,0.0,0.30434782608695654,0.7241379310344828,0.07772020725388601,0.0,0.09036144578313253,0.0,0.0,0.03614457831325301,0.0,0.0,0.042328042328042326
Liver Neoplasms,0.0,0.0,0.0,0.10714285714285714,0.225,0.16071428571428573,0.0,0.3277310924369748,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0782608695652174,0.0,0.0,0.1836734693877551,0.0,0.072,0.10714285714285714,0.07964601769911504,0.10714285714285714,1.0,0.2903225806451613,0.0,0.07692307692307693,0.20168067226890757,0.06178489702517163,0.0782608695652174,0.0,0.3,0.0782608695652174,0.060240963855421686,0.0,0.35135135135135137,0.0,0.0,0.02702702702702703,0.0,0.0,0.11836734693877551
Lung Neoplasms,0.07142857142857142,0.0,0.0,0.375,0.08653846153846154,0.1875,0.054945054945054944,0.07281553398058252,0.04950495049504951,0.0,0.0,0.0,0.056179775280898875,0.0,0.2727272727272727,0.2727272727272727,0.0975609756097561,0.05263157894736842,0.21951219512195122,0.0,0.08256880733944955,0.375,0.09278350515463918,0.125,0.2903225806451613,1.0,0.0,0.0891089108910891,0.08737864077669903,0.21715817694369974,0.2727272727272727,0.0,0.34615384615384615,0.09090909090909091,0.2073732718894009,0.06521739130434782,0.07894736842105263,0.05263157894736842,0.0,0.031578947368421054,0.0,0.0,0.03755868544600939
Mouth Neoplasms,0.0,0.22,0.16216216216216217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ovarian Neoplasms,0.0,0.0,0.0,0.10112359550561797,0.061855670103092786,0.16853932584269662,0.0,0.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.20388349514563106,0.06521739130434782,0.0,0.0,0.4666666666666667,0.0,0.37254901960784315,0.10112359550561797,0.06666666666666667,0.3258426966292135,0.07692307692307693,0.0891089108910891,0.0,1.0,0.0625,0.043478260869565216,0.06521739130434782,0.0,0.21649484536082475,0.21739130434782608,0.04433497536945813,0.0,0.05113636363636364,0.0,0.0,0.022727272727272728,0.0,0.0,0.03015075376884422
Pancreatic Neoplasms,0.0,0.0,0.0,0.0989010989010989,0.2222222222222222,0.16483516483516483,0.0,0.1683673469387755,0.0,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.06382978723404255,0.0,0.0,0.19480519480519481,0.0,0.057692307692307696,0.0989010989010989,0.06521739130434782,0.0989010989010989,0.20168067226890757,0.08737864077669903,0.0,0.0625,1.0,0.042492917847025496,0.06382978723404255,0.0,0.09090909090909091,0.06382978723404255,0.043478260869565216,0.0,0.18333333333333332,0.0,0.0,0.022222222222222223,0.0,0.0,0.07635467980295567
Parkinson Disease,0.10830324909747292,0.0,0.0,0.24923076923076923,0.04201680672268908,0.15692307692307692,0.1377049180327869,0.025495750708215296,0.12173913043478261,0.0,0.0,0.0,0.1414141414141414,0.0,0.30708661417322836,0.13353115727002968,0.20074349442379183,0.04240282685512368,0.1895910780669145,0.0,0.03978779840848806,0.24923076923076923,0.04559270516717325,0.08307692307692308,0.06178489702517163,0.21715817694369974,0.0,0.043478260869565216,0.042492917847025496,1.0,0.3115727002967359,0.0,0.07563025210084033,0.04451038575667656,0.744,0.22653721682847897,0.028037383177570093,0.0989399293286219,0.0,0.01557632398753894,0.0,0.0,0.02452316076294278
Peripheral Arterial Disease,0.16,0.0,0.0,0.3103448275862069,0.06315789473684211,0.1724137931034483,0.10975609756097561,0.047872340425531915,0.09782608695652174,0.0,0.0,0.0,0.1125,0.0,0.44554455445544555,0.2,0.2465753424657534,0.09803921568627451,0.2054794520547945,0.0,0.06,0.3103448275862069,0.06818181818181818,0.10344827586206896,0.0782608695652174,0.2727272727272727,0.0,0.06521739130434782,0.06382978723404255,0.3115727002967359,1.0,0.0,0.09473684210526316,0.06666666666666667,0.3165829145728643,0.14457831325301204,0.05232558139534884,0.09803921568627451,0.0,0.023255813953488372,0.0,0.0,0.03076923076923077
Pharyngeal Neoplasms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3103448275862069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14754098360655737,0.0,0.16216216216216217,0.0,0.0
Prostatic Neoplasms,0.0,0.0,0.0,0.13043478260869565,0.09,0.1956521739130435,0.0,0.07575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.2641509433962264,0.09473684210526316,0.0,0.0,0.5384615384615384,0.0,0.2,0.13043478260869565,0.0967741935483871,0.30434782608695654,0.3,0.34615384615384615,0.0,0.21649484536082475,0.09090909090909091,0.07563025210084033,0.09473684210526316,0.0,1.0,0.22105263157894736,0.07177033492822966,0.0,0.08241758241758242,0.0,0.0,0.03296703296703297,0.0,0.0,0.03902439024390244
Rectal Neoplasms,0.0,0.0,0.0,0.10344827586206896,0.06315789473684211,0.1724137931034483,0.0,0.047872340425531915,0.0,0.0,0.0,0.0,0.0,0.0,0.2079207920792079,0.06666666666666667,0.0,0.0,0.4794520547945205,0.0,0.14,0.10344827586206896,0.06818181818181818,0.7241379310344828,0.0782608695652174,0.09090909090909091,0.0,0.21739130434782608,0.06382978723404255,0.04451038575667656,0.06666666666666667,0.0,0.22105263157894736,1.0,0.04522613065326633,0.0,0.05232558139534884,0.0,0.0,0.023255813953488372,0.0,0.0,0.03076923076923077
Squamous Intraepithelial Lesions,0.10650887573964497,0.0,0.0,0.23316062176165803,0.0430622009569378,0.13989637305699482,0.15300546448087432,0.028985507246376812,0.2561576354679803,0.0,0.0,0.0,0.1564245810055866,0.0,0.31221719457013575,0.135678391959799,0.18181818181818182,0.05232558139534884,0.16363636363636364,0.0,0.0410958904109589,0.23316062176165803,0.046153846153846156,0.07772020725388601,0.060240963855421686,0.2073732718894009,0.0,0.04433497536945813,0.043478260869565216,0.744,0.3165829145728643,0.0,0.07177033492822966,0.04522613065326633,1.0,0.22702702702702704,0.031413612565445025,0.2616279069767442,0.0,0.015706806282722512,0.0,0.0,0.02336448598130841
Stomach Neoplasms,0.4117647058823529,0.0,0.0,0.075,0.0,0.0,0.28,0.0,0.6705882352941176,0.0,0.0,0.0,0.7808219178082192,0.0,0.1276595744680851,0.04819277108433735,0.6363636363636364,0.1079136690647482,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.06521739130434782,0.0,0.0,0.0,0.22653721682847897,0.14457831325301204,0.0,0.0,0.0,0.22702702702702704,1.0,0.0,0.2517985611510791,0.0,0.0,0.0,0.0,0.0
Thrombosis,0.0,0.0,0.0,0.09036144578313253,0.1978021978021978,0.16265060240963855,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.07731958762886598,0.05232558139534884,0.0,0.0,0.1956521739130435,0.0,0.046875,0.09036144578313253,0.05357142857142857,0.09036144578313253,0.35135135135135137,0.07894736842105263,0.0,0.05113636363636364,0.18333333333333332,0.028037383177570093,0.05232558139534884,0.0,0.08241758241758242,0.05232558139534884,0.031413612565445025,0.0,1.0,0.0,0.0,0.018292682926829267,0.0,0.0,0.17647058823529413
Thyroid Neoplasms,0.12195121951219512,0.0,0.0,0.061224489795918366,0.0,0.0,0.15328467153284672,0.0,0.2356687898089172,0.0,0.0,0.0,0.15789473684210525,0.0,0.08571428571428572,0.032679738562091505,0.226890756302521,0.047619047619047616,0.0,0.0,0.0,0.061224489795918366,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0989399293286219,0.09803921568627451,0.0,0.0,0.0,0.2616279069767442,0.2517985611510791,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Tongue Neoplasms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39473684210526316,0.13846153846153847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2542372881355932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14754098360655737,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.68,0.0,0.0
Ulcerative Colitis,0.0,0.0,0.0,0.03614457831325301,0.02197802197802198,0.060240963855421686,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.030927835051546393,0.023255813953488372,0.0,0.0,0.07246376811594203,0.0,0.020833333333333332,0.03614457831325301,0.023809523809523808,0.03614457831325301,0.02702702702702703,0.031578947368421054,0.0,0.022727272727272728,0.022222222222222223,0.01557632398753894,0.023255813953488372,0.0,0.03296703296703297,0.023255813953488372,0.015706806282722512,0.0,0.018292682926829267,0.0,0.0,1.0,0.0,0.0,0.03208556149732621
Urinary Bladder Neoplasms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30337078651685395,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16216216216216217,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,1.0,0.0,0.0
Uterine Cervical Neoplasms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Vascular Stiffness,0.0,0.0,0.0,0.042328042328042326,0.08780487804878048,0.06349206349206349,0.0,0.28078817733990147,0.0,0.048484848484848485,0.0,0.0,0.0,0.048484848484848485,0.03686635944700461,0.03076923076923077,0.0,0.0,0.07453416149068323,0.0,0.027906976744186046,0.042328042328042326,0.031413612565445025,0.042328042328042326,0.11836734693877551,0.03755868544600939,0.0,0.03015075376884422,0.07635467980295567,0.02452316076294278,0.03076923076923077,0.0,0.03902439024390244,0.03076923076923077,0.02336448598130841,0.0,0.17647058823529413,0.0,0.0,0.03208556149732621,0.0,0.0,1.0
