,disease_name,microbe_scientific_name,relationship_name,disease_mesh_id,disease_mesh_heading
40,Crohn Disease,Phocaeicola vulgatus,Decreased,MESH:D003424,Crohn Disease
41,Ulcerative Colitis,Phocaeicola vulgatus,Decreased,MESH:D003093,Ulcerative Colitis
42,Crohn Disease,Bifidobacterium,Decreased,MESH:D003424,Crohn Disease
43,Ulcerative Colitis,Bifidobacterium,Decreased,MESH:D003093,Ulcerative Colitis
44,Crohn Disease,Enterococcus,Increased,MESH:D003424,Crohn Disease
45,Ulcerative Colitis,Enterococcus,Increased,MESH:D003093,Ulcerative Colitis
46,Crohn Disease,Lactobacillus,Increased,MESH:D003424,Crohn Disease
47,Ulcerative Colitis,Lactobacillus,Increased,MESH:D003093,Ulcerative Colitis
48,Crohn Disease,Veillonella,Decreased,MESH:D003424,Crohn Disease
49,Ulcerative Colitis,Veillonella,Decreased,MESH:D003093,Ulcerative Colitis
50,Celiac Disease,Atopobium,Increased,MESH:D002446,Celiac Disease
51,Celiac Disease,Atopobium,Decreased,MESH:D002446,Celiac Disease
52,Celiac Disease,Atopobium,Increased,MESH:D002446,Celiac Disease
53,Celiac Disease,Atopobium,Decreased,MESH:D002446,Celiac Disease
54,Celiac Disease,Bifidobacterium,Increased,MESH:D002446,Celiac Disease
55,Celiac Disease,Bifidobacterium,Increased,MESH:D002446,Celiac Disease
56,Celiac Disease,Bifidobacterium,Decreased,MESH:D002446,Celiac Disease
57,Celiac Disease,Bifidobacterium,Decreased,MESH:D002446,Celiac Disease
58,Celiac Disease,Escherichia coli,Increased,MESH:D002446,Celiac Disease
59,Celiac Disease,Escherichia coli,Increased,MESH:D002446,Celiac Disease
60,Celiac Disease,Escherichia coli,Increased,MESH:D002446,Celiac Disease
61,Celiac Disease,Escherichia coli,Increased,MESH:D002446,Celiac Disease
62,Celiac Disease,Faecalibacterium prausnitzii,Decreased,MESH:D002446,Celiac Disease
63,Celiac Disease,Faecalibacterium prausnitzii,Decreased,MESH:D002446,Celiac Disease
64,Celiac Disease,Hathewaya histolytica,Decreased,MESH:D002446,Celiac Disease
65,Celiac Disease,Hathewaya histolytica,Decreased,MESH:D002446,Celiac Disease
66,Celiac Disease,Romboutsia lituseburensis,Increased,MESH:D002446,Celiac Disease
67,Celiac Disease,Romboutsia lituseburensis,Decreased,MESH:D002446,Celiac Disease
68,Celiac Disease,Romboutsia lituseburensis,Increased,MESH:D002446,Celiac Disease
69,Celiac Disease,Romboutsia lituseburensis,Decreased,MESH:D002446,Celiac Disease
70,Colorectal Neoplasms,[Eubacterium] rectale,Decreased,MESH:D015179,Colorectal neoplasms
71,Colorectal Neoplasms,[Eubacterium] rectale,Decreased,MESH:D015179,Colorectal neoplasms
72,Colorectal Neoplasms,Enterococcus faecalis,Increased,MESH:D015179,Colorectal neoplasms
73,Irritable Bowel Syndrome,Odoribacter,Decreased,MESH:D043183,Irritable Bowel Syndrome
74,Colorectal Neoplasms,Faecalibacterium prausnitzii,Decreased,MESH:D015179,Colorectal neoplasms
75,Crohn Disease,[Clostridium] leptum,Decreased,MESH:D003424,Crohn Disease
76,Ulcerative Colitis,[Clostridium] leptum,Decreased,MESH:D003093,Ulcerative Colitis
77,Crohn Disease,Bifidobacterium,Decreased,MESH:D003424,Crohn Disease
78,Ulcerative Colitis,Bifidobacterium,Decreased,MESH:D003093,Ulcerative Colitis
79,Crohn Disease,Blautia coccoides,Decreased,MESH:D003424,Crohn Disease
80,Crohn Disease,Blautia coccoides,Increased,MESH:D003424,Crohn Disease
81,Ulcerative Colitis,Blautia coccoides,Decreased,MESH:D003093,Ulcerative Colitis
82,Ulcerative Colitis,Blautia coccoides,Decreased,MESH:D003093,Ulcerative Colitis
83,Ulcerative Colitis,Blautia coccoides,Decreased,MESH:D003093,Ulcerative Colitis
84,Crohn Disease,Enterococcus faecalis,Increased,MESH:D003424,Crohn Disease
85,Crohn Disease,Enterococcus faecalis,Decreased,MESH:D003424,Crohn Disease
86,Ulcerative Colitis,Enterococcus faecalis,Decreased,MESH:D003093,Ulcerative Colitis
87,Crohn Disease,Faecalibacterium prausnitzii,Decreased,MESH:D003424,Crohn Disease
88,Ulcerative Colitis,Faecalibacterium prausnitzii,Decreased,MESH:D003093,Ulcerative Colitis
89,Crohn Disease,Firmicutes,Decreased,MESH:D003424,Crohn Disease
90,Ulcerative Colitis,Firmicutes,Decreased,MESH:D003093,Ulcerative Colitis
91,Crohn Disease,Escherichia coli,Increased,MESH:D003424,Crohn Disease
92,Crohn Disease,Escherichia coli,Increased,MESH:D003424,Crohn Disease
93,Crohn Disease,Escherichia coli,Increased,MESH:D003424,Crohn Disease
94,Crohn Disease,Escherichia coli,Increased,MESH:D003424,Crohn Disease
95,Crohn Disease,Escherichia coli,Increased,MESH:D003424,Crohn Disease
96,Crohn Disease,Escherichia coli,Increased,MESH:D003424,Crohn Disease
97,Irritable Bowel Syndrome,Bifidobacterium catenulatum,Decreased,MESH:D043183,Irritable Bowel Syndrome
98,Irritable Bowel Syndrome,Bifidobacterium catenulatum,Decreased,MESH:D043183,Irritable Bowel Syndrome
99,Irritable Bowel Syndrome,Bifidobacterium catenulatum,Decreased,MESH:D043183,Irritable Bowel Syndrome
100,Irritable Bowel Syndrome,Bifidobacterium catenulatum,Decreased,MESH:D043183,Irritable Bowel Syndrome
101,Irritable Bowel Syndrome,Bifidobacterium catenulatum,Decreased,MESH:D043183,Irritable Bowel Syndrome
102,Irritable Bowel Syndrome,Bifidobacterium catenulatum,Decreased,MESH:D043183,Irritable Bowel Syndrome
103,Irritable Bowel Syndrome,Bifidobacterium catenulatum,Decreased,MESH:D043183,Irritable Bowel Syndrome
104,Irritable Bowel Syndrome,Bifidobacterium catenulatum,Decreased,MESH:D043183,Irritable Bowel Syndrome
105,Celiac Disease,Bifidobacterium,Decreased,MESH:D002446,Celiac Disease
106,Celiac Disease,Faecalibacterium prausnitzii,Decreased,MESH:D002446,Celiac Disease
107,Celiac Disease,Hathewaya histolytica,Decreased,MESH:D002446,Celiac Disease
108,Celiac Disease,Romboutsia lituseburensis,Decreased,MESH:D002446,Celiac Disease
109,Celiac Disease,Phocaeicola vulgatus,Increased,MESH:D002446,Celiac Disease
110,Celiac Disease,Phocaeicola vulgatus,Decreased,MESH:D002446,Celiac Disease
111,Celiac Disease,Escherichia coli,Increased,MESH:D002446,Celiac Disease
112,Celiac Disease,Parabacteroides distasonis,Decreased,MESH:D002446,Celiac Disease
113,Celiac Disease,Parabacteroides distasonis,Increased,MESH:D002446,Celiac Disease
114,Crohn Disease,[Ruminococcus] gnavus,Increased,MESH:D003424,Crohn Disease
115,Crohn Disease,[Ruminococcus] gnavus,Increased,MESH:D003424,Crohn Disease
116,Ulcerative Colitis,[Ruminococcus] gnavus,Increased,MESH:D003093,Ulcerative Colitis
117,Crohn Disease,Akkermansia muciniphila,Decreased,MESH:D003424,Crohn Disease
118,Ulcerative Colitis,Akkermansia muciniphila,Decreased,MESH:D003093,Ulcerative Colitis
119,Crohn Disease,[Ruminococcus] gnavus,Increased,MESH:D003424,Crohn Disease
120,Crohn Disease,Acidaminococcus,Increased,MESH:D003424,Crohn Disease
121,Crohn Disease,Actinobacteria,Increased,MESH:D003424,Crohn Disease
122,Crohn Disease,Aeromonadaceae,Increased,MESH:D003424,Crohn Disease
123,Crohn Disease,Aeromonas,Increased,MESH:D003424,Crohn Disease
124,Crohn Disease,Alistipes,Decreased,MESH:D003424,Crohn Disease
125,Crohn Disease,Alistipes,Decreased,MESH:D003424,Crohn Disease
126,Crohn Disease,Alphaproteobacteria,Decreased,MESH:D003424,Crohn Disease
127,Crohn Disease,Anaeroplasmataceae,Decreased,MESH:D003424,Crohn Disease
128,Crohn Disease,Anaeroplasmataceae,Increased,MESH:D003424,Crohn Disease
129,Ulcerative Colitis,Anaeroplasmataceae,Decreased,MESH:D003093,Ulcerative Colitis
130,Crohn Disease,Anaerovorax,Increased,MESH:D003424,Crohn Disease
131,Crohn Disease,Asteroleplasma,Decreased,MESH:D003424,Crohn Disease
132,Crohn Disease,Asteroleplasma,Increased,MESH:D003424,Crohn Disease
133,Crohn Disease,Bacilli,Increased,MESH:D003424,Crohn Disease
134,Crohn Disease,Bifidobacteriaceae,Increased,MESH:D003424,Crohn Disease
135,Crohn Disease,Bifidobacteriales,Increased,MESH:D003424,Crohn Disease
136,Crohn Disease,Bifidobacterium,Increased,MESH:D003424,Crohn Disease
137,Ulcerative Colitis,Catenibacterium,Decreased,MESH:D003093,Ulcerative Colitis
138,Crohn Disease,Citrobacter,Increased,MESH:D003424,Crohn Disease
139,Crohn Disease,Clostridia,Increased,MESH:D003424,Crohn Disease
140,Crohn Disease,Clostridia,Decreased,MESH:D003424,Crohn Disease
141,Crohn Disease,Clostridiales,Decreased,MESH:D003424,Crohn Disease
142,Crohn Disease,Clostridiales,Increased,MESH:D003424,Crohn Disease
143,Crohn Disease,Collinsella,Increased,MESH:D003424,Crohn Disease
144,Crohn Disease,Coriobacteriaceae,Increased,MESH:D003424,Crohn Disease
145,Crohn Disease,Coriobacteriales,Increased,MESH:D003424,Crohn Disease
146,Crohn Disease,Coriobacteriia,Increased,MESH:D003424,Crohn Disease
147,Crohn Disease,Enterobacterales,Increased,MESH:D003424,Crohn Disease
148,Crohn Disease,Enterobacteriaceae,Increased,MESH:D003424,Crohn Disease
149,Crohn Disease,Faecalibacterium,Decreased,MESH:D003424,Crohn Disease
150,Crohn Disease,Faecalibacterium,Decreased,MESH:D003424,Crohn Disease
151,Crohn Disease,Faecalibacterium,Increased,MESH:D003424,Crohn Disease
152,Crohn Disease,Firmicutes,Increased,MESH:D003424,Crohn Disease
153,Crohn Disease,Fusobacteria,Decreased,MESH:D003424,Crohn Disease
154,Crohn Disease,Fusobacteria,Increased,MESH:D003424,Crohn Disease
155,Crohn Disease,Fusobacteriaceae,Decreased,MESH:D003424,Crohn Disease
156,Crohn Disease,Fusobacteriaceae,Increased,MESH:D003424,Crohn Disease
157,Crohn Disease,Fusobacteriales,Decreased,MESH:D003424,Crohn Disease
158,Crohn Disease,Fusobacteriales,Increased,MESH:D003424,Crohn Disease
159,Crohn Disease,Fusobacteriia,Decreased,MESH:D003424,Crohn Disease
160,Crohn Disease,Fusobacteriia,Increased,MESH:D003424,Crohn Disease
161,Crohn Disease,Fusobacterium,Increased,MESH:D003424,Crohn Disease
162,Crohn Disease,Fusobacterium,Decreased,MESH:D003424,Crohn Disease
163,Crohn Disease,Gammaproteobacteria,Increased,MESH:D003424,Crohn Disease
164,Crohn Disease,Hallella,Decreased,MESH:D003424,Crohn Disease
165,Crohn Disease,Lactobacillaceae,Increased,MESH:D003424,Crohn Disease
166,Crohn Disease,Lactobacillales,Increased,MESH:D003424,Crohn Disease
167,Crohn Disease,Lactobacillus,Increased,MESH:D003424,Crohn Disease
168,Crohn Disease,Lactococcus,Decreased,MESH:D003424,Crohn Disease
169,Crohn Disease,Mollicutes,Increased,MESH:D003424,Crohn Disease
170,Crohn Disease,Mollicutes,Decreased,MESH:D003424,Crohn Disease
171,Ulcerative Colitis,Mollicutes,Decreased,MESH:D003093,Ulcerative Colitis
172,Crohn Disease,Peptococcaceae,Decreased,MESH:D003424,Crohn Disease
173,Crohn Disease,Peptococcus,Decreased,MESH:D003424,Crohn Disease
174,Ulcerative Colitis,Prevotella,Decreased,MESH:D003093,Ulcerative Colitis
175,Crohn Disease,Proteobacteria,Increased,MESH:D003424,Crohn Disease
176,Crohn Disease,Roseburia,Decreased,MESH:D003424,Crohn Disease
177,Crohn Disease,Roseburia,Decreased,MESH:D003424,Crohn Disease
178,Crohn Disease,Ruminococcaceae,Increased,MESH:D003424,Crohn Disease
179,Crohn Disease,Ruminococcaceae,Decreased,MESH:D003424,Crohn Disease
180,Crohn Disease,Ruminococcus,Increased,MESH:D003424,Crohn Disease
181,Crohn Disease,Shigella,Increased,MESH:D003424,Crohn Disease
182,Ulcerative Colitis,Streptococcaceae,Decreased,MESH:D003093,Ulcerative Colitis
183,Ulcerative Colitis,Streptococcus,Decreased,MESH:D003093,Ulcerative Colitis
184,Crohn Disease,Subdoligranulum,Increased,MESH:D003424,Crohn Disease
185,Crohn Disease,Tenericutes,Increased,MESH:D003424,Crohn Disease
186,Crohn Disease,Tenericutes,Decreased,MESH:D003424,Crohn Disease
187,Ulcerative Colitis,Tenericutes,Decreased,MESH:D003093,Ulcerative Colitis
188,Crohn Disease,Veillonella,Increased,MESH:D003424,Crohn Disease
189,Crohn Disease,Veillonella,Decreased,MESH:D003424,Crohn Disease
190,Crohn Disease,[Eubacterium] rectale,Decreased,MESH:D003424,Crohn Disease
191,Crohn Disease,Bacillus megaterium,Increased,MESH:D003424,Crohn Disease
192,Crohn Disease,Bacteroides fragilis,Decreased,MESH:D003424,Crohn Disease
193,Crohn Disease,Phocaeicola vulgatus,Decreased,MESH:D003424,Crohn Disease
194,Crohn Disease,Bacteroides zoogleoformans,Decreased,MESH:D003424,Crohn Disease
195,Crohn Disease,Clostridioides difficile,Increased,MESH:D003424,Crohn Disease
196,Crohn Disease,Enterococcus durans,Increased,MESH:D003424,Crohn Disease
197,Crohn Disease,Enterococcus faecalis,Increased,MESH:D003424,Crohn Disease
198,Crohn Disease,Enterococcus faecium,Increased,MESH:D003424,Crohn Disease
199,Crohn Disease,Enterococcus faecium,Increased,MESH:D003424,Crohn Disease
200,Crohn Disease,Enterococcus saccharolyticus,Increased,MESH:D003424,Crohn Disease
201,Crohn Disease,Faecalibacterium prausnitzii,Decreased,MESH:D003424,Crohn Disease
202,Crohn Disease,Limosilactobacillus fermentum,Increased,MESH:D003424,Crohn Disease
203,Crohn Disease,Lactobacillus ruminis,Increased,MESH:D003424,Crohn Disease
204,Crohn Disease,Listeria sp.,Increased,MESH:D003424,Crohn Disease
205,Crohn Disease,Oenococcus oeni,Increased,MESH:D003424,Crohn Disease
206,Crohn Disease,Parabacteroides distasonis,Decreased,MESH:D003424,Crohn Disease
207,Crohn Disease,Ruminococcus albus,Decreased,MESH:D003424,Crohn Disease
208,Crohn Disease,Ruminococcus bromii,Decreased,MESH:D003424,Crohn Disease
209,Crohn Disease,Ruminococcus callidus,Decreased,MESH:D003424,Crohn Disease
210,Crohn Disease,Sphingomonas paucimobilis,Increased,MESH:D003424,Crohn Disease
211,Crohn Disease,Staphylococcus auricularis,Increased,MESH:D003424,Crohn Disease
212,Crohn Disease,Weissella viridescens,Increased,MESH:D003424,Crohn Disease
213,Atherosclerosis,Pseudomonas luteola,Present,MESH:D050197,Atherosclerosis
214,Atherosclerosis,Streptococcus,Present,MESH:D050197,Atherosclerosis
215,Atherosclerosis,Veillonella,Present,MESH:D050197,Atherosclerosis
216,Ulcerative Colitis,Desulfovibrio,Increased,MESH:D003093,Ulcerative Colitis
217,Ulcerative Colitis,Desulfovibrio,Increased,MESH:D003093,Ulcerative Colitis
218,Irritable Bowel Syndrome,Pseudomonas aeruginosa,Increased,MESH:D043183,Irritable Bowel Syndrome
219,Irritable Bowel Syndrome,Pseudomonas aeruginosa,Increased,MESH:D043183,Irritable Bowel Syndrome
220,Crohn Disease,[Ruminococcus] gnavus,Increased,MESH:D003424,Crohn Disease
221,Crohn Disease,Bifidobacterium adolescentis,Decreased,MESH:D003424,Crohn Disease
222,Crohn Disease,Dialister invisus,Decreased,MESH:D003424,Crohn Disease
223,Crohn Disease,Faecalibacterium prausnitzii,Decreased,MESH:D003424,Crohn Disease
224,Crohn Disease,Bacteroides,Increased,MESH:D003424,Crohn Disease
225,Crohn Disease,Bacteroides,Increased,MESH:D003424,Crohn Disease
226,Crohn Disease,Bacteroides,Increased,MESH:D003424,Crohn Disease
227,Irritable Bowel Syndrome,Papillibacter,Increased,MESH:D043183,Irritable Bowel Syndrome
228,Crohn Disease,Lactobacillales,Increased,MESH:D003424,Crohn Disease
229,Peripheral Arterial Disease,Chlamydia pneumoniae,Present,MESH:D058729,Peripheral Arterial Disease
230,Diarrhea,Phocaeicola vulgatus,Decreased,MESH:D003967,Diarrhea
231,Diarrhea,Phocaeicola vulgatus,Decreased,MESH:D003967,Diarrhea
232,Diarrhea,Phocaeicola vulgatus,Decreased,MESH:D003967,Diarrhea
233,Diarrhea,Phocaeicola vulgatus,Decreased,MESH:D003967,Diarrhea
234,Diarrhea,Bifidobacterium,Decreased,MESH:D003967,Diarrhea
235,Diarrhea,Bifidobacterium,Decreased,MESH:D003967,Diarrhea
236,Diarrhea,Bifidobacterium,Decreased,MESH:D003967,Diarrhea
237,Diarrhea,Lactobacillus,Decreased,MESH:D003967,Diarrhea
238,Diarrhea,Lactobacillus,Decreased,MESH:D003967,Diarrhea
239,Diarrhea,Lactobacillus,Decreased,MESH:D003967,Diarrhea
240,Diarrhea,Lactobacillus,Decreased,MESH:D003967,Diarrhea
241,Irritable Bowel Syndrome,Anaerovorax,Decreased,MESH:D043183,Irritable Bowel Syndrome
242,Irritable Bowel Syndrome,Dorea,Increased,MESH:D043183,Irritable Bowel Syndrome
243,Irritable Bowel Syndrome,Eubacterium,Decreased,MESH:D043183,Irritable Bowel Syndrome
244,Irritable Bowel Syndrome,Gammaproteobacteria,Increased,MESH:D043183,Irritable Bowel Syndrome
245,Irritable Bowel Syndrome,Haemophilus,Increased,MESH:D043183,Irritable Bowel Syndrome
246,Irritable Bowel Syndrome,Haemophilus parainfluenzae,Increased,MESH:D043183,Irritable Bowel Syndrome
247,Irritable Bowel Syndrome,Veillonella,Decreased,MESH:D043183,Irritable Bowel Syndrome
248,Irritable Bowel Syndrome,[Clostridium] leptum,Increased,MESH:D043183,Irritable Bowel Syndrome
249,Irritable Bowel Syndrome,[Clostridium] symbiosum,Increased,MESH:D043183,Irritable Bowel Syndrome
250,Irritable Bowel Syndrome,[Ruminococcus] gnavus,Increased,MESH:D043183,Irritable Bowel Syndrome
251,Irritable Bowel Syndrome,Actinobacteria,Decreased,MESH:D043183,Irritable Bowel Syndrome
252,Irritable Bowel Syndrome,Alistipes,Decreased,MESH:D043183,Irritable Bowel Syndrome
253,Irritable Bowel Syndrome,Alloprevotella tannerae,Decreased,MESH:D043183,Irritable Bowel Syndrome
254,Irritable Bowel Syndrome,Anaerovorax,Increased,MESH:D043183,Irritable Bowel Syndrome
255,Irritable Bowel Syndrome,Aneurinibacillus,Increased,MESH:D043183,Irritable Bowel Syndrome
256,Irritable Bowel Syndrome,Bacteroides fragilis,Decreased,MESH:D043183,Irritable Bowel Syndrome
257,Irritable Bowel Syndrome,Bacteroides intestinalis,Decreased,MESH:D043183,Irritable Bowel Syndrome
258,Irritable Bowel Syndrome,Bacteroides ovatus,Decreased,MESH:D043183,Irritable Bowel Syndrome
259,Irritable Bowel Syndrome,Phocaeicola plebeius,Decreased,MESH:D043183,Irritable Bowel Syndrome
260,Irritable Bowel Syndrome,Bacteroides stercoris,Decreased,MESH:D043183,Irritable Bowel Syndrome
261,Irritable Bowel Syndrome,Bacteroides uniformis,Decreased,MESH:D043183,Irritable Bowel Syndrome
262,Irritable Bowel Syndrome,Phocaeicola vulgatus,Decreased,MESH:D043183,Irritable Bowel Syndrome
263,Irritable Bowel Syndrome,Bacteroidetes,Decreased,MESH:D043183,Irritable Bowel Syndrome
264,Irritable Bowel Syndrome,Bifidobacterium,Decreased,MESH:D043183,Irritable Bowel Syndrome
265,Irritable Bowel Syndrome,Blautia,Increased,MESH:D043183,Irritable Bowel Syndrome
266,Irritable Bowel Syndrome,Clostridioides difficile,Increased,MESH:D043183,Irritable Bowel Syndrome
267,Irritable Bowel Syndrome,Coprococcus eutactus,Increased,MESH:D043183,Irritable Bowel Syndrome
268,Irritable Bowel Syndrome,Dialister,Increased,MESH:D043183,Irritable Bowel Syndrome
269,Irritable Bowel Syndrome,Dorea,Increased,MESH:D043183,Irritable Bowel Syndrome
270,Irritable Bowel Syndrome,Firmicutes,Increased,MESH:D043183,Irritable Bowel Syndrome
271,Irritable Bowel Syndrome,Flavonifractor plautii,Increased,MESH:D043183,Irritable Bowel Syndrome
272,Irritable Bowel Syndrome,Lachnospira,Increased,MESH:D043183,Irritable Bowel Syndrome
273,Irritable Bowel Syndrome,Marvinbryantia,Increased,MESH:D043183,Irritable Bowel Syndrome
274,Irritable Bowel Syndrome,Parabacteroides,Decreased,MESH:D043183,Irritable Bowel Syndrome
275,Irritable Bowel Syndrome,Peptococcus,Increased,MESH:D043183,Irritable Bowel Syndrome
276,Irritable Bowel Syndrome,Prevotella oralis,Decreased,MESH:D043183,Irritable Bowel Syndrome
277,Irritable Bowel Syndrome,Prevotella ruminicola,Decreased,MESH:D043183,Irritable Bowel Syndrome
278,Irritable Bowel Syndrome,Roseburia,Increased,MESH:D043183,Irritable Bowel Syndrome
279,Irritable Bowel Syndrome,[Ruminococcus] lactaris,Increased,MESH:D043183,Irritable Bowel Syndrome
280,Irritable Bowel Syndrome,Streptococcus intermedius,Increased,MESH:D043183,Irritable Bowel Syndrome
281,Irritable Bowel Syndrome,Tannerella,Decreased,MESH:D043183,Irritable Bowel Syndrome
282,Irritable Bowel Syndrome,Tyzzerella nexilis,Increased,MESH:D043183,Irritable Bowel Syndrome
283,Coronary Artery Disease,Chlamydia pneumoniae,Present,MESH:D003324,Coronary Artery Disease
284,Coronary Artery Disease,Chlamydia pneumoniae,Present,MESH:D003324,Coronary Artery Disease
285,Colorectal Neoplasms,Alistipes,Decreased,MESH:D015179,Colorectal neoplasms
286,Colorectal Neoplasms,Bacteroides,Decreased,MESH:D015179,Colorectal neoplasms
287,Colorectal Neoplasms,Bacteroides fragilis,Decreased,MESH:D015179,Colorectal neoplasms
288,Colorectal Neoplasms,Bacteroides sp.,Decreased,MESH:D015179,Colorectal neoplasms
289,Colorectal Neoplasms,Bacteroides uniformis,Decreased,MESH:D015179,Colorectal neoplasms
290,Colorectal Neoplasms,Phocaeicola vulgatus,Decreased,MESH:D015179,Colorectal neoplasms
291,Colorectal Neoplasms,Bacteroidetes,Decreased,MESH:D015179,Colorectal neoplasms
292,Colorectal Neoplasms,Bifidobacteriales,Decreased,MESH:D015179,Colorectal neoplasms
293,Colorectal Neoplasms,Citrobacter,Increased,MESH:D015179,Colorectal neoplasms
294,Colorectal Neoplasms,Eggerthella,Increased,MESH:D015179,Colorectal neoplasms
295,Colorectal Neoplasms,Enterococcus,Increased,MESH:D015179,Colorectal neoplasms
296,Colorectal Neoplasms,Eubacterium,Decreased,MESH:D015179,Colorectal neoplasms
297,Colorectal Neoplasms,Fusobacterium,Increased,MESH:D015179,Colorectal neoplasms
298,Colorectal Neoplasms,Gemella,Increased,MESH:D015179,Colorectal neoplasms
299,Colorectal Neoplasms,Klebsiella,Increased,MESH:D015179,Colorectal neoplasms
300,Colorectal Neoplasms,Oscillibacter,Decreased,MESH:D015179,Colorectal neoplasms
301,Colorectal Neoplasms,Parasutterella,Decreased,MESH:D015179,Colorectal neoplasms
302,Colorectal Neoplasms,Peptostreptococcus,Increased,MESH:D015179,Colorectal neoplasms
303,Colorectal Neoplasms,Phascolarctobacterium,Decreased,MESH:D015179,Colorectal neoplasms
304,Colorectal Neoplasms,Porphyromonas,Increased,MESH:D015179,Colorectal neoplasms
305,Colorectal Neoplasms,Proteobacteria,Increased,MESH:D015179,Colorectal neoplasms
306,Colorectal Neoplasms,Roseburia,Decreased,MESH:D015179,Colorectal neoplasms
307,Colorectal Neoplasms,Streptococcus,Increased,MESH:D015179,Colorectal neoplasms
308,Celiac Disease,Bacteroides,Increased,MESH:D002446,Celiac Disease
309,Celiac Disease,Bifidobacterium,Decreased,MESH:D002446,Celiac Disease
310,Celiac Disease,Enterococcus,Decreased,MESH:D002446,Celiac Disease
311,Celiac Disease,Klebsiella,Increased,MESH:D002446,Celiac Disease
312,Celiac Disease,Lactobacillus,Decreased,MESH:D002446,Celiac Disease
313,Celiac Disease,Salmonella,Increased,MESH:D002446,Celiac Disease
314,Celiac Disease,Shigella,Increased,MESH:D002446,Celiac Disease
315,Celiac Disease,Staphylococcus,Increased,MESH:D002446,Celiac Disease
316,Ulcerative Colitis,Bacteroidetes,Increased,MESH:D003093,Ulcerative Colitis
317,Crohn Disease,Firmicutes,Decreased,MESH:D003424,Crohn Disease
