,MeSH Symptom Term,MeSH Disease Term,PubMed occurrence,TFIDF score
97026,Vision Disorders,Colonic Neoplasms,1.0,0.6634894318679091
98948,Blindness,Colonic Neoplasms,1.0,1.0981383550099495
100133,"Blindness, Cortical",Colonic Neoplasms,1.0,2.944676030252059
101570,Hemianopsia,Colonic Neoplasms,1.0,2.082052199386629
104386,"Urinary Bladder, Neurogenic",Colonic Neoplasms,2.0,4.156514256836155
104956,Vertigo,Colonic Neoplasms,1.0,1.5962519431875786
106334,Dysphonia,Colonic Neoplasms,1.0,3.449513612173427
106570,Hoarseness,Colonic Neoplasms,2.0,4.432253845282395
108156,Abdominal Pain,Colonic Neoplasms,56.0,47.51508597625484
109596,"Abdomen, Acute",Colonic Neoplasms,20.0,28.75200260959057
110391,Colic,Colonic Neoplasms,2.0,4.26949463274564
110995,Arthralgia,Colonic Neoplasms,1.0,1.4773000003262131
112241,Chest Pain,Colonic Neoplasms,1.0,1.0995608303564923
113128,Angina Pectoris,Colonic Neoplasms,8.0,11.621466981526858
114242,"Angina, Unstable",Colonic Neoplasms,1.0,2.2425601797093533
115468,Glossalgia,Colonic Neoplasms,1.0,4.016620071838007
115619,"Pain, Postoperative",Colonic Neoplasms,1.0,1.6778553222664596
117400,Anorexia,Colonic Neoplasms,13.0,23.72838798140442
118053,Constipation,Colonic Neoplasms,40.0,63.75661974106236
119248,Diarrhea,Colonic Neoplasms,114.0,105.2434469433834
120506,"Diarrhea, Infantile",Colonic Neoplasms,1.0,2.281245322020591
120927,Dyspepsia,Colonic Neoplasms,4.0,8.328208797546516
121546,Flatulence,Colonic Neoplasms,2.0,6.275734518565836
121834,Halitosis,Colonic Neoplasms,1.0,3.241407938223758
123176,Nausea,Colonic Neoplasms,65.0,74.01894982066909
124183,Postoperative Nausea and Vomiting,Colonic Neoplasms,1.0,3.420099726967134
124723,Vomiting,Colonic Neoplasms,41.0,34.584019282440885
126107,Hematemesis,Colonic Neoplasms,2.0,4.171723455606593
126763,"Vomiting, Anticipatory",Colonic Neoplasms,7.0,31.78483645647813
127058,Anoxia,Colonic Neoplasms,28.0,28.055680007809165
130852,Dyspnea,Colonic Neoplasms,2.0,2.010443363079234
132933,Hypercapnia,Colonic Neoplasms,1.0,2.1109838219206343
133427,Hyperoxia,Colonic Neoplasms,2.0,5.898381421213172
136268,Skin Manifestations,Colonic Neoplasms,4.0,2.44942887240623
136888,Cafe-au-Lait Spots,Colonic Neoplasms,1.0,3.303928295205092
137694,Jaundice,Colonic Neoplasms,2.0,2.9094235419045
138447,"Jaundice, Obstructive",Colonic Neoplasms,2.0,4.996057264354959
140149,Purpura,Colonic Neoplasms,1.0,1.0632186059291338
142257,"Purpura, Thrombocytopenic, Idiopathic",Colonic Neoplasms,4.0,7.735577819827927
142841,"Purpura, Thrombotic Thrombocytopenic",Colonic Neoplasms,3.0,6.552115824269093
144553,Proteinuria,Colonic Neoplasms,1.0,1.248977773533552
146417,Urinary Incontinence,Colonic Neoplasms,1.0,1.6175293416348633
1643,Fever,Periodontal Diseases,5.0,3.094688161416484
3358,Fever of Unknown Origin,Periodontal Diseases,2.0,2.9463098333420885
5389,Body Weight,Periodontal Diseases,20.0,6.8597569428953
7081,Birth Weight,Periodontal Diseases,10.0,14.071309430047002
8283,Weight Gain,Periodontal Diseases,2.0,2.9733794813521044
9501,Weight Loss,Periodontal Diseases,1.0,1.0000537113811745
11079,Fetal Weight,Periodontal Diseases,1.0,3.576668787658674
11277,Overweight,Periodontal Diseases,5.0,4.119360497754206
12144,Obesity,Periodontal Diseases,34.0,28.30682415561272
16646,Edema,Periodontal Diseases,17.0,10.129927599748996
20077,Fatigue,Periodontal Diseases,1.0,1.1380131555214292
22700,Hypergammaglobulinemia,Periodontal Diseases,2.0,3.358250327413871
23292,Intermittent Claudication,Periodontal Diseases,1.0,2.2183032020637934
24448,Neurologic Manifestations,Periodontal Diseases,1.0,0.0699414131753343
30409,Hyperkinesis,Periodontal Diseases,1.0,2.341000252522606
30798,Hypokinesia,Periodontal Diseases,1.0,2.879293270989208
39660,Learning Disorders,Periodontal Diseases,1.0,1.7353123772912469
47557,Mental Retardation,Periodontal Diseases,23.0,20.82527373367243
52221,Muscle Cramp,Periodontal Diseases,1.0,2.2425601797093533
57856,Spasm,Periodontal Diseases,1.0,1.3672774715625755
58775,Trismus,Periodontal Diseases,1.0,2.597960426216085
59076,Tetany,Periodontal Diseases,1.0,2.3812066730006465
60450,Pain,Periodontal Diseases,29.0,9.552214550291463
62461,Back Pain,Periodontal Diseases,2.0,2.2938570383587638
64160,Facial Pain,Periodontal Diseases,7.0,13.806300146073696
65211,Headache,Periodontal Diseases,6.0,5.307385528271343
71961,Hemiplegia,Periodontal Diseases,1.0,1.294632362892016
75810,Quadriplegia,Periodontal Diseases,2.0,2.7382793389872804
79259,Psychophysiologic Disorders,Periodontal Diseases,13.0,19.27257324399521
82785,Seizures,Periodontal Diseases,1.0,0.8451669255214139
85142,Dizziness,Periodontal Diseases,1.0,1.3424714224114789
94087,Hyperesthesia,Periodontal Diseases,1.0,2.694864231855688
94567,Hypesthesia,Periodontal Diseases,1.0,1.7219610441163826
95440,Paresthesia,Periodontal Diseases,2.0,2.7160362922995573
96230,Taste Disorders,Periodontal Diseases,1.0,2.376091572333876
99131,Blindness,Periodontal Diseases,1.0,1.0981383550099495
101630,Hemianopsia,Periodontal Diseases,1.0,2.082052199386629
103306,Sleep Disorders,Periodontal Diseases,1.0,1.4929989098693168
105066,Vertigo,Periodontal Diseases,1.0,1.5962519431875786
107109,Oral Manifestations,Periodontal Diseases,35.0,65.30216989967677
107489,Oral Hemorrhage,Periodontal Diseases,38.0,97.88466698178426
112418,Chest Pain,Periodontal Diseases,1.0,1.0995608303564923
113265,Angina Pectoris,Periodontal Diseases,2.0,2.9053667453817145
113951,Acute Coronary Syndrome,Periodontal Diseases,2.0,5.19592085243217
114284,"Angina, Unstable",Periodontal Diseases,5.0,11.212800898546767
115104,Toothache,Periodontal Diseases,13.0,35.497570087950976
115485,Glossalgia,Periodontal Diseases,1.0,4.016620071838007
115804,"Pain, Postoperative",Periodontal Diseases,1.0,1.6778553222664596
118755,Coprophagia,Periodontal Diseases,1.0,4.913366207639192
119538,Diarrhea,Periodontal Diseases,1.0,0.9231881310823103
121070,Dyspepsia,Periodontal Diseases,1.0,2.082052199386629
121873,Halitosis,Periodontal Diseases,41.0,132.89772546717407
122627,Bulimia,Periodontal Diseases,2.0,5.527714206685279
125018,Vomiting,Periodontal Diseases,1.0,0.8435126654253875
127288,Anoxia,Periodontal Diseases,3.0,3.0059657151224104
129796,Cough,Periodontal Diseases,2.0,2.6294583021926647
134660,Mouth Breathing,Periodontal Diseases,6.0,19.376157598245506
137857,Jaundice,Periodontal Diseases,1.0,1.45471177095225
139279,Pruritus,Periodontal Diseases,1.0,1.4659421084818036
141747,"Purpura, Thrombocytopenic",Periodontal Diseases,1.0,1.4149055205518302
144695,Proteinuria,Periodontal Diseases,2.0,2.497955547067104
145517,Albuminuria,Periodontal Diseases,3.0,6.195259995684996
327,Asthenia,Peptic Ulcer,2.0,4.1264385021070735
1577,Fever,Peptic Ulcer,4.0,2.475750529133187
3969,Hypothermia,Peptic Ulcer,1.0,1.9454362153971527
5315,Body Weight,Peptic Ulcer,33.0,11.318598955777246
7045,Birth Weight,Peptic Ulcer,1.0,1.4071309430047
8244,Weight Gain,Peptic Ulcer,1.0,1.4866897406760522
9436,Weight Loss,Peptic Ulcer,4.0,4.000214845524698
11262,Overweight,Peptic Ulcer,1.0,0.8238720995508412
12079,Obesity,Peptic Ulcer,11.0,9.158090167992349
13470,"Obesity, Morbid",Peptic Ulcer,5.0,8.764699761872802
16566,Edema,Peptic Ulcer,13.0,7.746415223337467
18772,Eye Manifestations,Peptic Ulcer,1.0,1.507876973895496
22668,Hypergammaglobulinemia,Peptic Ulcer,2.0,3.358250327413871
24412,Neurologic Manifestations,Peptic Ulcer,3.0,0.2098242395260031
27383,Cerebellar Ataxia,Peptic Ulcer,1.0,1.7087856229578182
31181,Myoclonus,Peptic Ulcer,1.0,1.775070869430331
32661,Tremor,Peptic Ulcer,1.0,1.739352786828252
38670,Dysarthria,Peptic Ulcer,1.0,2.0265851178737564
40415,Confusion,Peptic Ulcer,1.0,1.508948211276995
42271,Unconsciousness,Peptic Ulcer,1.0,0.9279728292056466
43136,Coma,Peptic Ulcer,1.0,1.312084812843242
47510,Mental Retardation,Peptic Ulcer,1.0,0.9054466840727144
52204,Muscle Cramp,Peptic Ulcer,2.0,4.485120359418707
52589,Muscle Hypertonia,Peptic Ulcer,1.0,1.480420127662457
57819,Spasm,Peptic Ulcer,5.0,6.836387357812877
59058,Tetany,Peptic Ulcer,5.0,11.906033365003232
60356,Pain,Peptic Ulcer,85.0,27.997870233612907
62428,Back Pain,Peptic Ulcer,1.0,1.1469285191793817
65167,Headache,Peptic Ulcer,5.0,4.422821273559453
74527,Paraplegia,Peptic Ulcer,1.0,1.2774792836657665
79218,Psychophysiologic Disorders,Peptic Ulcer,110.0,163.0756197568826
81294,"Reflex, Abnormal",Peptic Ulcer,1.0,1.4071309430047
85124,Dizziness,Peptic Ulcer,2.0,2.6849428448229578
88020,Deafness,Peptic Ulcer,2.0,2.4570543261245223
90489,"Hearing Loss, Sensorineural",Peptic Ulcer,1.0,1.2148558604642947
94077,Hyperesthesia,Peptic Ulcer,1.0,2.694864231855688
95412,Paresthesia,Peptic Ulcer,1.0,1.358018146149779
96215,Taste Disorders,Peptic Ulcer,2.0,4.752183144667752
99105,Blindness,Peptic Ulcer,3.0,3.294415065029849
105055,Vertigo,Peptic Ulcer,1.0,1.5962519431875786
107083,Oral Manifestations,Peptic Ulcer,2.0,3.7315525656958153
108375,Abdominal Pain,Peptic Ulcer,25.0,21.2120919536852
109731,"Abdomen, Acute",Peptic Ulcer,5.0,7.188000652397642
110482,Colic,Peptic Ulcer,2.0,4.26949463274564
112390,Chest Pain,Peptic Ulcer,5.0,5.497804151782463
113232,Angina Pectoris,Peptic Ulcer,10.0,14.526833726908572
113945,Acute Coronary Syndrome,Peptic Ulcer,1.0,2.597960426216085
115087,Toothache,Peptic Ulcer,1.0,2.7305823144577674
115765,"Pain, Postoperative",Peptic Ulcer,3.0,5.033565966799379
117155,Aerophagy,Peptic Ulcer,1.0,4.070687293108283
117497,Anorexia,Peptic Ulcer,2.0,3.650521227908373
118204,Constipation,Peptic Ulcer,10.0,15.93915493526559
119465,Diarrhea,Peptic Ulcer,31.0,28.618832063551626
121024,Dyspepsia,Peptic Ulcer,323.0,672.5028604018812
121587,Flatulence,Peptic Ulcer,1.0,3.1378672592829178
122041,Heartburn,Peptic Ulcer,9.0,28.591824753775683
123358,Nausea,Peptic Ulcer,9.0,10.248777667477258
124946,Vomiting,Peptic Ulcer,15.0,12.652689981380812
126194,Hematemesis,Peptic Ulcer,18.0,37.54551110045934
126573,Hyperemesis Gravidarum,Peptic Ulcer,1.0,2.875082738452864
127237,Anoxia,Peptic Ulcer,13.0,13.025851432197111
132434,Hemoptysis,Peptic Ulcer,3.0,5.09122309061075
132989,Hypercapnia,Peptic Ulcer,1.0,2.1109838219206343
136393,Skin Manifestations,Peptic Ulcer,1.0,0.6123572181015575
137797,Jaundice,Peptic Ulcer,6.0,8.728270625713499
139242,Pruritus,Peptic Ulcer,1.0,1.4659421084818036
140227,Purpura,Peptic Ulcer,1.0,1.0632186059291338
140858,"Purpura, Hyperglobulinemic",Peptic Ulcer,1.0,3.674524577662433
141145,"Purpura, Schoenlein-Henoch",Peptic Ulcer,3.0,5.994643262233622
142321,"Purpura, Thrombocytopenic, Idiopathic",Peptic Ulcer,1.0,1.9338944549569816
144669,Proteinuria,Peptic Ulcer,1.0,1.248977773533552
318,Asthenia,Gastroesophageal Reflux,1.0,2.0632192510535368
1541,Fever,Gastroesophageal Reflux,1.0,0.6189376322832968
5283,Body Weight,Gastroesophageal Reflux,39.0,13.376526038645835
7028,Birth Weight,Gastroesophageal Reflux,3.0,4.2213928290141
8222,Weight Gain,Gastroesophageal Reflux,25.0,37.16724351690131
9402,Weight Loss,Gastroesophageal Reflux,32.0,32.001718764197584
11256,Overweight,Gastroesophageal Reflux,12.0,9.886465194610096
12041,Obesity,Gastroesophageal Reflux,120.0,99.90643819628016
13449,"Obesity, Morbid",Gastroesophageal Reflux,44.0,77.12935790448064
15178,Cyanosis,Gastroesophageal Reflux,5.0,8.71704793761933
16536,Edema,Gastroesophageal Reflux,6.0,3.5752685646172924
20021,Fatigue,Gastroesophageal Reflux,2.0,2.2760263110428585
21890,Heart Murmurs,Gastroesophageal Reflux,1.0,2.3634171314371484
22658,Hypergammaglobulinemia,Gastroesophageal Reflux,1.0,1.6791251637069355
29307,Dystonia,Gastroesophageal Reflux,11.0,16.897199368753498
30009,Torticollis,Gastroesophageal Reflux,26.0,56.02976398888614
31774,Psychomotor Agitation,Gastroesophageal Reflux,1.0,2.2425601797093533
32173,"Akathisia, Drug-Induced",Gastroesophageal Reflux,2.0,6.221822898588779
32660,Tremor,Gastroesophageal Reflux,2.0,3.478705573656504
34236,Apraxias,Gastroesophageal Reflux,1.0,2.3837740685058924
36145,Language Development Disorders,Gastroesophageal Reflux,1.0,2.486567188658473
36654,Speech Disorders,Gastroesophageal Reflux,1.0,1.1529165610240042
37459,Aphasia,Gastroesophageal Reflux,2.0,3.621323629066067
38668,Dysarthria,Gastroesophageal Reflux,1.0,2.0265851178737564
39642,Learning Disorders,Gastroesophageal Reflux,1.0,1.7353123772912469
41647,Consciousness Disorders,Gastroesophageal Reflux,1.0,0.8771292762243725
42264,Unconsciousness,Gastroesophageal Reflux,1.0,0.9279728292056466
43124,Coma,Gastroesophageal Reflux,1.0,1.312084812843242
44409,Syncope,Gastroesophageal Reflux,10.0,14.908914275297525
47492,Mental Retardation,Gastroesophageal Reflux,40.0,36.21786736290857
48799,Perceptual Disorders,Gastroesophageal Reflux,1.0,1.3860573662141715
51146,Psychomotor Disorders,Gastroesophageal Reflux,5.0,6.658204958185547
52586,Muscle Hypertonia,Gastroesophageal Reflux,1.0,1.480420127662457
53399,Muscle Spasticity,Gastroesophageal Reflux,1.0,1.7272802055939829
54136,Muscle Hypotonia,Gastroesophageal Reflux,3.0,4.969533404117326
57792,Spasm,Gastroesophageal Reflux,9.0,12.30549724406318
60311,Pain,Gastroesophageal Reflux,48.0,15.810562014275526
63427,Low Back Pain,Gastroesophageal Reflux,2.0,3.1808420457535704
64141,Facial Pain,Gastroesophageal Reflux,1.0,1.9723285922962424
65154,Headache,Gastroesophageal Reflux,5.0,4.422821273559453
66552,Neck Pain,Gastroesophageal Reflux,1.0,1.9587920065787088
67153,Neuralgia,Gastroesophageal Reflux,1.0,1.5383141060813592
68761,"Pain, Referred",Gastroesophageal Reflux,1.0,4.003547990270655
69378,Paralysis,Gastroesophageal Reflux,3.0,1.453414132448545
71453,Gastroparesis,Gastroesophageal Reflux,15.0,49.46246107312202
71930,Hemiplegia,Gastroesophageal Reflux,1.0,1.294632362892016
74512,Paraplegia,Gastroesophageal Reflux,3.0,3.8324378509972994
75767,Quadriplegia,Gastroesophageal Reflux,4.0,5.476558677974561
77068,Vocal Cord Paralysis,Gastroesophageal Reflux,6.0,11.926677260711768
78843,"Paraparesis, Spastic",Gastroesophageal Reflux,1.0,3.1712036795505094
79194,Psychophysiologic Disorders,Gastroesophageal Reflux,26.0,38.54514648799043
81282,"Reflex, Abnormal",Gastroesophageal Reflux,3.0,4.2213928290141
82716,Seizures,Gastroesophageal Reflux,6.0,5.071001553128483
84177,Sensation Disorders,Gastroesophageal Reflux,7.0,2.4032533299014776
85117,Dizziness,Gastroesophageal Reflux,1.0,1.3424714224114789
86159,Hearing Disorders,Gastroesophageal Reflux,1.0,0.7350165749565932
87090,Hearing Loss,Gastroesophageal Reflux,1.0,0.8035505446228293
90484,"Hearing Loss, Sensorineural",Gastroesophageal Reflux,1.0,1.2148558604642947
92946,Olfaction Disorders,Gastroesophageal Reflux,1.0,2.2882302165425417
93345,Somatosensory Disorders,Gastroesophageal Reflux,2.0,2.091062139972813
93729,Hyperalgesia,Gastroesophageal Reflux,7.0,16.75877054485588
94542,Hypesthesia,Gastroesophageal Reflux,1.0,1.7219610441163826
103275,Sleep Disorders,Gastroesophageal Reflux,53.0,79.12894222307379
103997,Sleep Deprivation,Gastroesophageal Reflux,2.0,5.151824577988646
105816,Voice Disorders,Gastroesophageal Reflux,43.0,71.60552703100478
106359,Dysphonia,Gastroesophageal Reflux,2.0,6.899027224346854
106642,Hoarseness,Gastroesophageal Reflux,61.0,135.18374228111307
108323,Abdominal Pain,Gastroesophageal Reflux,30.0,25.45451034442224
109695,"Abdomen, Acute",Gastroesophageal Reflux,1.0,1.4376001304795285
110460,Colic,Gastroesophageal Reflux,11.0,23.48222048010102
112365,Chest Pain,Gastroesophageal Reflux,226.0,248.50074766056733
113218,Angina Pectoris,Gastroesophageal Reflux,27.0,39.22245106265314
114270,"Angina, Unstable",Gastroesophageal Reflux,1.0,2.2425601797093533
114863,Earache,Gastroesophageal Reflux,2.0,5.635848649225831
115748,"Pain, Postoperative",Gastroesophageal Reflux,2.0,3.3557106445329192
117148,Aerophagy,Gastroesophageal Reflux,10.0,40.70687293108283
117476,Anorexia,Gastroesophageal Reflux,5.0,9.12630306977093
118170,Constipation,Gastroesophageal Reflux,32.0,51.005295792849886
119418,Diarrhea,Gastroesophageal Reflux,18.0,16.61738635948159
120988,Dyspepsia,Gastroesophageal Reflux,217.0,451.8053272668985
121464,Eructation,Gastroesophageal Reflux,31.0,123.31507234937683
121568,Flatulence,Gastroesophageal Reflux,6.0,18.82720355569751
121717,Gagging,Gastroesophageal Reflux,7.0,26.12563026698156
121852,Halitosis,Gastroesophageal Reflux,3.0,9.724223814671271
122023,Heartburn,Gastroesophageal Reflux,534.0,1696.4482687240238
122216,Hiccup,Gastroesophageal Reflux,18.0,53.16706558389559
122402,Hyperphagia,Gastroesophageal Reflux,3.0,7.197955268831078
122605,Bulimia,Gastroesophageal Reflux,10.0,27.638571033426395
123325,Nausea,Gastroesophageal Reflux,19.0,21.63630840911866
124196,Postoperative Nausea and Vomiting,Gastroesophageal Reflux,1.0,3.420099726967134
124904,Vomiting,Gastroesophageal Reflux,180.0,151.83227977656975
126172,Hematemesis,Gastroesophageal Reflux,5.0,10.429308639016485
126498,Morning Sickness,Gastroesophageal Reflux,1.0,2.8501851868311365
127218,Anoxia,Gastroesophageal Reflux,6.0,6.011931430244821
128731,Apnea,Gastroesophageal Reflux,84.0,157.6305283007059
129737,Cough,Gastroesophageal Reflux,311.0,408.8807659909594
131039,Dyspnea,Gastroesophageal Reflux,20.0,20.104433630792343
132028,"Dyspnea, Paroxysmal",Gastroesophageal Reflux,4.0,15.008934247958996
132421,Hemoptysis,Gastroesophageal Reflux,2.0,3.394148727073833
132981,Hypercapnia,Gastroesophageal Reflux,1.0,2.1109838219206343
134356,Hypoventilation,Gastroesophageal Reflux,1.0,2.5213533047438883
134817,Respiratory Aspiration,Gastroesophageal Reflux,24.0,79.92176580742594
135180,Respiratory Sounds,Gastroesophageal Reflux,44.0,72.12785044393586
135680,Snoring,Gastroesophageal Reflux,7.0,19.320733276068623
141716,"Purpura, Thrombocytopenic",Gastroesophageal Reflux,1.0,1.4149055205518302
146147,"Urinary Bladder, Overactive",Gastroesophageal Reflux,1.0,3.543332367391082
563,Asthenia,Psoriasis,2.0,4.1264385021070735
2563,Fever,Psoriasis,26.0,16.092378439365717
3719,Fever of Unknown Origin,Psoriasis,2.0,2.9463098333420885
4277,Hypothermia,Psoriasis,3.0,5.836308646191459
6382,Body Weight,Psoriasis,30.0,10.28963541434295
7596,Birth Weight,Psoriasis,4.0,5.6285237720188
8690,Weight Gain,Psoriasis,5.0,7.433448703380261
10019,Weight Loss,Psoriasis,3.0,3.0001611341435237
11446,Overweight,Psoriasis,3.0,2.471616298652524
12936,Obesity,Psoriasis,67.0,55.78109465958976
13832,"Obesity, Morbid",Psoriasis,4.0,7.0117598094982405
14198,Thinness,Psoriasis,2.0,5.341199219712114
14986,Chills,Psoriasis,2.0,7.170358954653166
17634,Edema,Psoriasis,29.0,17.28046472898358
19170,Eye Manifestations,Psoriasis,1.0,1.507876973895496
20701,Fatigue,Psoriasis,7.0,7.966092088650004
21727,Flushing,Psoriasis,6.0,15.68407281135956
23056,Hypergammaglobulinemia,Psoriasis,7.0,11.75387614594855
24952,Neurologic Manifestations,Psoriasis,2.0,0.1398828263506687
27006,Ataxia,Psoriasis,1.0,1.2196597127769402
30659,Hyperkinesis,Psoriasis,1.0,2.341000252522606
31588,Myoclonus,Psoriasis,1.0,1.775070869430331
33090,Tremor,Psoriasis,1.0,1.739352786828252
33762,"Gait Disorders, Neurologic",Psoriasis,1.0,1.744765519935002
37829,Aphasia,Psoriasis,1.0,1.810661814533033
40797,Confusion,Psoriasis,2.0,3.01789642255399
42645,Unconsciousness,Psoriasis,2.0,1.8559456584112928
43724,Coma,Psoriasis,2.0,2.624169625686484
48433,Mental Retardation,Psoriasis,2.0,1.810893368145429
52777,Muscle Hypertonia,Psoriasis,1.0,1.480420127662457
56066,Muscle Weakness,Psoriasis,1.0,0.992991081702862
57108,Muscular Atrophy,Psoriasis,3.0,4.382465308781485
58316,Spasm,Psoriasis,1.0,1.3672774715625755
59253,Tetany,Psoriasis,4.0,9.524826692002586
61558,Pain,Psoriasis,37.0,12.187308219337384
62879,Back Pain,Psoriasis,4.0,4.587714076717527
63785,Low Back Pain,Psoriasis,2.0,3.1808420457535704
64430,Facial Pain,Psoriasis,3.0,5.916985776888727
66008,Headache,Psoriasis,16.0,14.15302807539025
67498,Neuralgia,Psoriasis,2.0,3.0766282121627184
68088,Sciatica,Psoriasis,3.0,6.508227894221216
70072,Paralysis,Psoriasis,1.0,0.4844713774828483
72556,Hemiplegia,Psoriasis,1.0,1.294632362892016
73638,Ophthalmoplegia,Psoriasis,1.0,1.3298472691830825
76306,Quadriplegia,Psoriasis,1.0,1.3691396694936402
77337,Vocal Cord Paralysis,Psoriasis,1.0,1.9877795434519607
79740,Psychophysiologic Disorders,Psoriasis,38.0,56.33521409783217
83666,Seizures,Psoriasis,1.0,0.8451669255214139
84639,Sensation Disorders,Psoriasis,1.0,0.3433219042716396
85718,Dizziness,Psoriasis,4.0,5.369885689645916
88695,Deafness,Psoriasis,2.0,2.4570543261245223
89269,"Hearing Loss, Bilateral",Psoriasis,1.0,2.2117885210426
91128,"Hearing Loss, Sensorineural",Psoriasis,4.0,4.859423441857179
92753,Tinnitus,Psoriasis,3.0,5.922100867641978
93192,Olfaction Disorders,Psoriasis,1.0,2.2882302165425417
95947,Paresthesia,Psoriasis,4.0,5.432072584599115
98073,Vision Disorders,Psoriasis,2.0,1.3269788637358182
99786,Blindness,Psoriasis,1.0,1.0981383550099495
103774,Sleep Disorders,Psoriasis,5.0,7.464994549346584
105513,Vertigo,Psoriasis,3.0,4.788755829562736
107300,Oral Manifestations,Psoriasis,3.0,5.597328848543723
109046,Abdominal Pain,Psoriasis,2.0,1.6969673562948158
111495,Arthralgia,Psoriasis,15.0,22.1595000048932
111942,Shoulder Pain,Psoriasis,1.0,2.420427386153928
112856,Chest Pain,Psoriasis,2.0,2.199121660712985
113719,Angina Pectoris,Psoriasis,2.0,2.9053667453817145
114520,"Angina, Unstable",Psoriasis,1.0,2.2425601797093533
115240,Toothache,Psoriasis,1.0,2.7305823144577674
118589,Constipation,Psoriasis,1.0,1.593915493526559
120145,Diarrhea,Psoriasis,18.0,16.61738635948159
121246,Dyspepsia,Psoriasis,1.0,2.082052199386629
123961,Nausea,Psoriasis,33.0,37.57885144741662
125695,Vomiting,Psoriasis,10.0,8.435126654253875
128063,Anoxia,Psoriasis,2.0,2.0039771434149403
130319,Cough,Psoriasis,1.0,1.3147291510963324
131787,Dyspnea,Psoriasis,4.0,4.020886726158468
136734,Skin Manifestations,Psoriasis,15.0,9.185358271523365
138189,Jaundice,Psoriasis,3.0,4.3641353128567495
139678,Pruritus,Psoriasis,98.0,143.66232663121676
139925,Tinea Pedis,Psoriasis,6.0,20.83293653353912
140657,Purpura,Psoriasis,7.0,7.442530241503936
